display_name,claim_type,confidence,operational_health_tag,decentralization_pressure_tag,current_registered_pool_count,current_live_positive_pool_count,healthy_core_pool_count,subscale_active_pool_count,dormant_pool_count,zero_stake_registered_pool_count,near_saturation_pool_count,current_stake_ada,current_pct_supply,median_live_stake_ada,largest_live_stake_ada,median_live_pledge_ada,avg_live_pledge_ada,avg_live_margin_pct,avg_live_fixed_cost_ada,dominant_meta_domains,koios_pool_groups,adastat_groups,balanceanalytics_groups,relay_hints
NuFi,Same provider cluster,High,Dense live fleet,High,18,18,17,0,1,0,0,312779321.180,0.8128,13061586.865,41488375.143,1000.000,1000.000,3.00,340.000,"`pools-meta.nu.fi` (17), `adalite.io` (1)",`ADALITE` (18),`nu.fi` (18),`ADALITE` (18),"`cardano-relays-1.nu.fi` (17), `cardano-relays-2.nu.fi` (17), `34.249.11.89` (1)"
1PCT,Same operator cluster,High,Mostly healthy live fleet,High,30,30,16,12,2,0,1,269709725.920,0.7008,4606819.618,68307827.040,50000.000,51666.667,0.97,340.000,"`www.1percentpool.eu` (28), `www.epicpool.eu` (1), `1pct.net` (1)",`1PCT` (29),`1percentpool.eu` (28),`1PCT` (29),"`r1.1percentpool.eu` (28), `r2.1percentpool.eu` (28), `relay1.epicpool.eu` (1)"
Emurgo,Same operator cluster,High,Mostly healthy live fleet,Moderate,14,11,8,2,1,3,1,270597246.264,0.7031,14763716.486,62447373.802,500.000,1272.727,1.55,200.909,"`emurgo.github.io` (9), `kficz.github.io` (2), `d5935b72a1770a1a34f5.github.io` (2)",`EMURGO` (13),"`emurgo.io` (9), `theswim.net` (2), `d5935b72a1770a1a34f5.github.io` (2)",`EMURGO` (12),"`49.12.123.178` (2), `51.161.35.246` (2), `51.195.91.118` (2)"
ADV,Pool group / reward address clustering,Medium,Active fleet,High,4,4,4,0,0,0,3,263220038.947,0.6838,73118982.984,76981438.778,250000.000,250000.000,0.00,340.000,adavault.com,ADV,,,"[{""dns"":""gateway.adavault.com"",""srv"":null,""ipv4"":n"
SECUR,Pool group / reward address clustering,Medium,Dense live fleet,High,5,5,5,0,0,0,1,234393576.668,0.6089,56092782.844,68140382.668,100000.000,120000.000,1.80,170.000,cardano.securestaking.io,SECUR,,,"[{""dns"":""relay.cardano.securestaking.io"",""srv"":nul"
nan,Pool group / reward address clustering,Medium,Dense live fleet,High,9,9,7,2,1,0,1,231172962.916,0.6005,16839055.473,71274441.818,40000.000,65555.556,2.20,340.000,37.59.55.35; cardanians.io; pool.cardanoyoda.com,CRDNS,,,"[{""dns"":""eu.relays.cardanians.io"",""srv"":null,""ipv4; [{""dns"":""fr.relays.cardanians.io"",""srv"":null,""ipv4"
Bloom,Same operator cluster,High,Mostly healthy live fleet,Moderate,7,7,7,0,0,0,1,220387398.201,0.5727,30083013.552,71030505.422,1000000.000,10571428.571,17.71,340.000,"`bloompool.io` (6), `t.co` (1)",`BLOOM` (7),`bloompool.io` (6),`BLOOM` (7),"`157.245.228.134` (6), `159.89.120.164` (6), `209.97.186.44` (6)"
AdaOcean,Same operator cluster,High,Mostly healthy live fleet,Moderate,10,10,6,4,0,0,0,189279074.070,0.4918,12102033.938,46516450.715,10000.000,32000.000,3.77,468.000,"`adaocean.com` (8), `cybercyclone.github.io` (1), `jolly-ocean-0bab2f303.azurestaticapps.net` (1)","`OCEAN` (8), `SAFEBLOCK` (1)",`adaocean.com` (8),`OCEAN` (8),"`relay1.adaocean.com` (8), `relay2.adaocean.com` (8), `relay3.adaocean.com` (8)"
CCV,Pool group / reward address clustering,Medium,Dense live fleet,Moderate,5,5,5,0,0,0,0,177140722.529,0.4602,35327928.335,45142755.499,500.000,500.000,3.00,340.000,raw.githubusercontent.com,CCV,,,[]
DIGI,Pool group / reward address clustering,Medium,Dense live fleet,Moderate,6,6,5,1,0,0,0,170858243.727,0.4439,33430326.946,60275690.456,200000.000,200000.000,2.00,296.667,digi.pro,DIGI,,,"[{""dns"":""relays.digi.pro"",""srv"":null,""ipv4"":null,"""
EDEN,Pool group / reward address clustering,Medium,Dense live fleet,Moderate,5,5,5,0,0,0,0,170678552.148,0.4434,31746646.287,58908393.839,1000.000,1000.000,1.00,340.000,garden-pool.com,EDEN,,,"[{""dns"":null,""srv"":null,""ipv4"":""148.113.17.23"",""ip"
Adalite platform cluster,Not asserted as same legal entity,Low-Medium,Thin live fleet,Limited,3,3,3,0,0,0,2,158005564.272,0.4106,76223650.293,76273181.286,71000000.000,49070000.000,100.00,340.000,n/a,`ADALITE` (3),n/a,`ADALITE` (3),"`13.236.12.204` (1), `13.211.73.179` (1)"
MS4,Pool group / reward address clustering,Medium,Active fleet,Moderate,4,4,4,0,0,0,0,155741162.885,0.4046,47750610.445,59409969.533,100000.000,82500.000,2.50,340.000,git.io,MS,,,"[{""dns"":null,""srv"":null,""ipv4"":""34.84.0.241"",""ipv6; [{""dns"":null,""srv"":null,""ipv4"":""35.211.17.86"",""ipv"
DAPP,Pool group / reward address clustering,Medium,Dense live fleet,Moderate,8,8,5,3,2,0,0,141154273.144,0.3667,19977934.095,48501741.331,5000.000,188390.000,2.25,306.875,apexfusionhosting.com; azureada.com; threenext.com,DAPP,,,"[{""dns"":""relay.azureada.com"",""srv"":null,""ipv4"":nul; [{""dns"":""relay1.apexfusionhosting.com"",""srv"":null,"
