display_name,claim_type,confidence,operational_health_tag,decentralization_pressure_tag,current_registered_pool_count,current_live_positive_pool_count,healthy_core_pool_count,subscale_active_pool_count,dormant_pool_count,zero_stake_registered_pool_count,near_saturation_pool_count,current_stake_ada,current_pct_supply,median_live_stake_ada,largest_live_stake_ada,median_live_pledge_ada,avg_live_pledge_ada,avg_live_margin_pct,avg_live_fixed_cost_ada,dominant_meta_domains,koios_pool_groups,adastat_groups,balanceanalytics_groups,relay_hints
CAFE,Pool group / reward address clustering,Medium,Active fleet,Moderate,3,3,2,1,0,0,1,80734132.315,0.2097,11178855.347,68208841.966,100000.000,100000.000,0.33,340.000,cardanocafe.org,CAFE,,,"[{""dns"":""cof-1.cardanocafe.org"",""srv"":null,""ipv4"":; [{""dns"":""r1-1.cardanocafe.org"",""srv"":null,""ipv4"":n"
FREE,Pool group / reward address clustering,Medium,Dense live fleet,Moderate,5,5,3,2,0,0,0,79947707.171,0.2077,20917016.146,35729889.490,10000.000,44510.000,3.29,340.000,git.io; raw.githubusercontent.com; tinyurl.com,ITC,,,"[]; [{""dns"":null,""srv"":null,""ipv4"":""127.0.0.1"",""ipv6"":"
HOPE,Pool group / reward address clustering,Medium,Dense live fleet,Moderate,9,9,8,1,0,0,0,78637822.343,0.2043,6022870.737,27056267.984,50000.000,46688.889,2.89,245.556,cardano.ipclub29.com,JOY,,,"[{""dns"":""ipclub29-1.relay.my-ip.at"",""srv"":null,""ip"
SASA,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,74336605.852,0.1931,50187458.460,50187458.460,80.000,80.000,3.25,340.000,bit.ly; nagamarupanda.github.io,SASA,,,"[{""dns"":null,""srv"":null,""ipv4"":""152.53.121.193"",""i; [{""dns"":null,""srv"":null,""ipv4"":""152.53.21.151"",""ip"
RETIR,Pool group / reward address clustering,Medium,Active fleet,Moderate,3,3,1,2,2,0,1,73779283.621,0.1917,60577.400,73662630.078,0.000,66666.667,0.00,283.333,raw.githubusercontent.com,bmtxs.github.io,,,"[{""dns"":null,""srv"":null,""ipv4"":""0.0.0.0"",""ipv6"":nu; [{""dns"":null,""srv"":null,""ipv4"":""162.120.71.180"",""i"
BCSH,Pool group / reward address clustering,Medium,Dense live fleet,Moderate,8,8,7,1,0,0,0,69299224.349,0.1800,4553706.342,21584211.745,10000.000,132500.487,2.50,355.000,cardanostakehouse.com,WESTBERG,,,"[{""dns"":""relay0.bluecheesestakehouse.com"",""srv"":nu; [{""dns"":""relay1.bluecheesestakehouse.com"",""srv"":nu"
ONYX,Pool group / reward address clustering,Medium,Active fleet,Moderate,4,4,3,1,0,0,0,69189616.613,0.1797,13394154.893,51536413.303,250000.000,187500.000,1.00,170.000,onyxstakepool.com,ONYX,,,"[{""dns"":""relays.onyxstakepool.com"",""srv"":null,""ipv"
BRAVO,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,68269546.262,0.1773,57913098.681,57913098.681,501000.000,405500.000,0.75,340.000,bravostakepool.nl,BRAVO,,,"[{""dns"":""relaynode1.bravostakepool.nl"",""srv"":null,"
VIPER,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,68073135.715,0.1768,48215918.173,48215918.173,401000.000,401000.000,0.45,170.000,viperstaking.com,VIPER,,,"[{""dns"":""relay0.viperstaking.com"",""srv"":null,""ipv4; [{""dns"":""relay1.viperstaking.com"",""srv"":null,""ipv4"
XSP,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,67060960.719,0.1742,42380436.576,42380436.576,20000.000,20000.000,3.70,340.000,xstakepool.com,XSP,,,"[{""dns"":""relay1-us.xstakepool.com"",""srv"":null,""ipv"
PNR39,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,66037192.846,0.1716,45338740.761,45338740.761,500.000,449.500,1.00,339.500,strixjpn.github.io,strixjpn.github.io,,,"[{""dns"":null,""srv"":null,""ipv4"":""109.123.231.213"","""
SNAKE,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,1,1,1,0,1,63253511.079,0.1643,63252499.112,63252499.112,15000.000,8000.000,0.50,255.000,asnakep.github.io,snakepool.link,,,"[{""dns"":""relay1.snakepool.link"",""srv"":null,""ipv4"":"
CNODE,Pool group / reward address clustering,Medium,Active fleet,Moderate,4,4,2,2,0,0,0,61273588.316,0.1592,14064276.009,45925900.354,500000.000,375025.000,0.00,413.750,cardanode.io,CNODE,,,"[{""dns"":""germany.cardanode.io"",""srv"":null,""ipv4"":n; [{""dns"":""perth.cardanode.io"",""srv"":null,""ipv4"":nul"
STI,Pool group / reward address clustering,Medium,Active fleet,Moderate,3,3,3,0,0,0,0,60881318.719,0.1582,15487014.315,38836244.395,50000.000,79000.000,2.33,340.000,tobg.github.io,STI,,,"[{""dns"":""adar1.stakit.io"",""srv"":null,""ipv4"":null,""; [{""dns"":""adar2.stakit.io"",""srv"":null,""ipv4"":null,"""
HODL₳,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,60498792.292,0.1572,30747924.398,30747924.398,8440000.000,8165000.000,2.15,500.000,git.io,HODLA,,,"[{""dns"":null,""srv"":null,""ipv4"":""52.8.37.3"",""ipv6"":"
ADAOZ,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,1,1,0,0,0,58185922.171,0.1512,57562836.102,57562836.102,70000.000,65000.000,0.50,255.000,cardanode.com.au; tinyurl.com,linktr.ee,,,"[{""dns"":""envy-relay-1.uk"",""srv"":null,""ipv4"":null,""; [{""dns"":""sydney.cardanode.com.au"",""srv"":null,""ipv4"
TERA,Pool group / reward address clustering,Medium,Active fleet,Moderate,3,3,3,0,0,0,0,52889328.452,0.1374,17851320.741,22302310.704,300.000,300.000,0.67,340.000,pooltera.github.io,TERA,,,"[{""dns"":null,""srv"":null,""ipv4"":""135.181.194.233"","""
ECO,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,1,1,0,0,0,50631661.709,0.1315,50364028.104,50364028.104,100000.000,52500.000,1.70,340.000,ecopool.io,ECO,,,"[{""dns"":null,""srv"":null,""ipv4"":""49.12.198.221"",""ip"
ATLAS,Pool group / reward address clustering,Medium,Active fleet,Moderate,2,2,2,0,0,0,0,48578138.076,0.1262,41499990.667,41499990.667,500000.000,312500.000,0.40,340.000,atlasstakepool.com,ATLAS,,,"[{""dns"":""relay-us.duckdns.org"",""srv"":null,""ipv4"":n; [{""dns"":null,""srv"":null,""ipv4"":""18.157.253.103"",""i"
