epoch_no,active_stake_ada,block_cnt,pool_fees_ada,deleg_rewards_ada,member_rewards_ada,owner_member_rewards_ada,total_pool_rewards_ada,rewarding_pool_cnt,pool_row_cnt
257,22670949084.364777,20836,1857163.4127799994,13594037.92663699,13355436.483963996,238601.4426729999,15451201.339417012,947,2331
258,22760955541.83454,21021,1939255.4599409986,13690252.558906991,13444974.27937798,245278.2795289997,15629508.018847987,977,2378
259,22791959380.285606,20796,1800623.6634300007,13825836.183507003,13594734.578239001,231101.6052679999,15626459.846937003,967,2424
260,22796009141.13442,21047,1927327.189026998,13850933.224580009,13613776.905336013,237156.31924400007,15778260.413607003,991,2450
261,22716225550.169712,21087,2029533.7209830019,13692363.002745992,13454896.143237006,237466.8595090002,15721896.723729013,976,2471
262,22755688720.340305,21194,2072480.269578997,13702911.255331991,13457716.23396898,245195.02136300007,15775391.52491099,1012,2492
263,22726917708.8734,21111,2040078.694470999,13617586.58878901,13380835.345412998,236751.24337599982,15657665.283259982,995,2511
264,22955953661.89682,21127,2091410.2058750005,13750411.190369997,13504173.366983006,246237.8233870001,15841821.396245008,1001,2538
265,23026399223.41148,21427,2288922.277489998,13810846.231054999,13559224.30670901,251621.92434600013,16099768.508545008,1012,2558
266,23083634214.1177,21404,2409341.670808999,13656562.944218991,13407595.091496991,248967.8527220004,16065904.615027983,1007,2581
267,23021654510.41951,21702,2567223.008799003,13563736.995243005,13319151.876479,244585.118764,16130960.004041981,995,2599
268,22843314790.026745,21413,2474122.258498999,13414375.915324997,13166243.611816995,248132.30350799984,15888498.173823994,1038,2590
269,22786770256.60496,21509,2465500.434309,13410693.574364001,13173256.249887004,237437.32447699996,15876194.008672994,1009,2611
270,22893778548.073586,21395,2452670.8375299983,13363286.914774997,13125189.713431006,238097.2013439999,15815957.752305012,1017,2641
271,22970909569.111313,21410,2370191.869334001,13445809.87087201,13200796.97421001,245012.89666199987,15816001.740206001,1038,2671
272,23020000415.780613,21499,2465107.072819001,13452322.239478005,13213660.34696302,238661.89251500028,15917429.312296992,1024,2688
273,23075664958.74651,21464,2456722.109435998,13415307.686790995,13179315.563069984,235992.12372100053,15872029.796227,1029,2703
274,23094302016.775856,21521,2419331.812482001,13459063.180068998,13223948.86237002,235114.31769899983,15878394.992551027,1055,2740
275,23006172979.540237,21505,2391126.2030939977,13422794.42100003,13178953.083667008,243841.337333,15813920.624094002,1060,2761
276,23092420021.153866,21298,2386585.613409002,13302070.700346002,13071328.26261099,230742.43773499984,15688656.313754996,1030,2774
277,23196615273.348488,21323,2583939.2568310006,13230921.108004019,12977984.153778017,252936.954226,15814860.364834981,1070,2794
278,23196379717.22826,21352,2705172.3586620004,13086886.828623999,12826898.537602983,259988.29102100016,15792059.187285976,1054,2818
279,23210733595.257263,21404,2711698.8664159984,13093405.584806,12840303.337260991,253102.24754500022,15805104.451222023,1085,2822
280,23230827525.68359,21204,2650198.8550809994,12967020.146136992,12733185.10716998,233835.0389669998,15617219.001218013,1070,2836
281,23254470605.645172,21411,2676214.0296540023,13061770.217386989,12814294.88247201,247475.33491499993,15737984.247040978,1082,2843
282,23244660857.359665,21452,2766656.1271900004,12914459.679111991,12675577.684581008,238881.99453100012,15681115.806301985,1093,2866
283,23277148789.435486,21412,2680777.046574999,12959616.29520199,12719350.896900006,240265.39830200013,15640393.341776993,1072,2878
284,23275724668.51116,21517,2672149.794963999,13013465.638853002,12765378.801081995,248086.8377710001,15685615.433816995,1098,2904
285,23159940155.010082,21201,2610955.3896209993,12747237.874000005,12515192.535423975,232045.3385760001,15358193.263621029,1087,2922
286,23141094607.453682,21504,2728493.794524999,12822526.944002008,12591258.232380006,231268.71162199997,15551020.738527015,1076,2934
287,23041097075.076717,21065,2541766.8042690004,12563925.403550997,12331003.187674994,232922.21587600012,15105692.20781999,1108,2946
288,23136223153.98838,21136,2607358.6789889988,12551141.697489006,12313531.626524003,237610.07096500005,15158500.376478026,1104,2944
289,23311196777.53461,21195,2784802.4848730005,12487690.498767994,12259564.246137999,228126.2526299999,15272492.98364102,1094,2945
290,23253494675.755272,21320,2762657.5060429987,12598152.971683996,12355185.33195501,242967.63972900037,15360810.477726988,1116,2961
291,23219858534.473045,21261,2690736.6620840016,12552837.717233,12319208.030985994,233629.68624700012,15243574.379316993,1078,2984
292,23325839206.372475,21264,2775923.0428620023,12517782.88921502,12266977.223507999,250805.66570699975,15293705.932077022,1106,2987
293,23395112387.18589,21243,2836585.952752001,12443255.771118997,12219922.081057996,223333.69006099988,15279841.723871017,1088,2990
294,23382668673.546524,20960,2821570.701351,12195122.575193005,11966162.02415901,228960.55103399986,15016693.276543973,1132,3007
295,23411124422.16434,21081,2922158.7314829957,12173872.249467013,11944141.852847982,229730.39661899986,15096030.980950007,1116,3024
296,23445774697.795326,20849,2894653.338388998,12017839.693521015,11780488.147932976,237351.54558799998,14912493.031910025,1121,3036
297,23478023193.51307,21168,3008345.365719,12113797.925128015,11888988.644250972,224809.28087700036,15122143.290846992,1138,3040
298,23511990337.86578,20840,2903282.734849002,11437244.279997993,11220453.82222902,216790.45776899962,14340527.014847014,1113,3055
299,23564534162.883224,20982,2940309.083178,11504504.602038005,11285948.210867006,218556.3911710005,14444813.685216002,1112,3050
300,23882888816.746334,21225,3124689.1499989987,11670305.262612002,11421491.457653988,248813.80495799985,14794994.412611004,1111,3041
301,23857504839.45495,20989,3090618.5376830036,11467683.929139998,11221753.36810598,245930.5610339998,14558302.466822993,1148,3050
302,23848572589.189342,21203,3202195.6886380026,11513752.30127099,11264266.123324977,249486.17794599957,14715947.989909027,1116,3045
303,23849267970.809715,20948,3124187.2849590005,11315520.660442978,11071629.260065993,243891.40037699995,14439707.945401995,1117,3045
304,23856125875.170696,21095,3106182.677556998,11499718.639672,11251299.08878501,248419.5508870001,14605901.317229,1114,3059
305,23854747611.96425,21025,3061109.9156359965,11393732.316697989,11156755.128589997,236977.1881080002,14454842.232334014,1122,3078
306,23836977371.261265,21141,3136829.9957460025,11329395.402420001,11087032.912437022,242362.48998299995,14466225.39816598,1105,3071
307,23854464200.396248,20910,3091345.2507420005,11222093.791263988,11003153.690569002,218940.10069500006,14313439.042006018,1100,3094
308,23828103259.412354,21033,2997642.714504002,11352654.700299995,11130743.737837,221910.96246300024,14350297.414804006,1099,3089
309,23765024934.948162,20804,2850147.4076839983,11285093.215716979,11039549.264652014,245543.95106500026,14135240.623401005,1114,3082
310,23777625558.16979,21045,2855259.0081429994,11390645.320106009,11147520.602474008,243124.71763199978,14245904.328248993,1118,3090
311,23732237106.487244,21090,2884402.720983,11325611.80427499,11097253.60624099,228358.1980340001,14210014.525258003,1111,3086
312,23741900713.307335,20821,2793916.7399159996,11158181.355524007,10929724.001338003,228457.354186,13952098.09543998,1081,3092
313,23726880119.033787,20267,2725474.102022001,10892793.109465003,10665289.98534801,227503.12411699997,13618267.211487014,1094,3094
314,23604987896.132526,20390,2774174.096080999,10836606.633231005,10602598.139016004,234008.4942150003,13610780.729311997,1104,3086
315,23537012833.083862,20182,2724213.943597997,10745732.747043015,10523816.880515004,221915.86652800025,13469946.690640992,1094,3084
316,23549369658.121777,20141,2687727.4545289995,10729042.500494,10511564.163176,217478.33731799986,13416769.955022994,1083,3079
317,23582836244.979866,20478,2625442.518626002,10919282.458845984,10689112.471604988,230169.98724100005,13544724.977472011,1056,3085
318,23583277486.361115,20284,2569999.4128519995,10773057.536669996,10566861.43498199,206196.1016880005,13343056.949522007,1042,3087
319,23565309681.268616,20414,2596633.530427999,10832817.124995,10621271.428605013,211545.69639000006,13429450.655423025,1051,3088
320,23561047526.582516,20284,2624286.4664389985,10712666.201161016,10515887.800442006,196778.4007190002,13336952.667600004,1018,3088
321,23537719498.083298,20096,2622943.929411004,10550813.678663999,10343761.743536009,207051.93512800004,13173757.608074995,1029,3088
322,23504746248.17418,20393,2689452.652559001,10615684.762078013,10411834.03531599,203850.72676199986,13305137.414637012,1058,3096
323,23487356050.894314,20573,2706199.504984998,10661621.543347009,10450660.830230001,210960.71311699995,13367821.048331989,1109,3104
324,23354498909.628216,20380,2728227.5219610007,10457991.098355003,10236438.202320982,221552.896034,13186218.620316006,1121,3107
325,23417671451.02196,20541,2739188.418524,10554570.610968985,10347094.99794598,207475.61302299987,13293759.029492991,1126,3112
326,23301004853.80228,20534,2916446.8206679993,10246920.817145985,10041338.273741003,205582.5434049996,13163367.637814045,1090,3123
327,23258804977.03405,20346,2808429.6213780004,10213043.825173013,10000277.383342985,212766.44182999994,13021473.446550999,1083,3125
328,23216173396.125942,20579,2908460.7149860007,10193538.48995397,9982769.586629001,210768.9033250002,13101999.204939995,1109,3126
329,24598636428.762444,20353,2897850.2891080007,10785296.645729994,10584830.316142,200466.3295879996,13683146.934837997,1101,3145
330,24587384093.65376,20685,3009144.8249150016,10877403.471413003,10664676.730736978,212726.74067599984,13886548.296328042,1083,3154
331,24665771640.296295,20704,2976491.1388209984,10935486.160129994,10716414.796087006,219071.36404299948,13911977.298951011,1131,3160
332,24727842768.797054,20391,3013022.3465880016,10719550.067106,10504892.463370997,214657.60373499998,13732572.41369399,1141,3156
333,24714063915.931484,20290,2953662.3472479996,10668826.173136009,10464973.820741002,203852.35239499973,13622488.520384002,1123,3147
334,24776127551.43985,20232,2983461.1965329987,10606452.630274009,10393426.917669002,213025.71260499983,13589913.826807,1109,3156
335,24769119181.72966,20446,3001057.1498879986,10699605.250278005,10496255.018531999,203350.23174599968,13700662.400166001,1119,3149
336,24767062828.320576,20500,2906874.633862002,10767676.278029995,10564864.175151005,202812.10287899978,13674550.911891999,1103,3149
337,24753443176.758488,20794,2989600.9452509983,10832375.512106996,10624141.816148996,208233.69595799976,13821976.457357986,1112,3152
338,24621517986.831455,20640,2880433.469339998,10740372.71682699,10529401.727315987,210970.9895109999,13620806.186167004,1105,3148
339,24682659914.204533,20678,2878014.5436140033,10770536.25338699,10562713.775485983,207822.47790099977,13648550.797000993,1121,3147
340,24476700813.527348,20670,2763128.028616002,10672872.748400988,10473760.261803994,199112.48659700004,13436000.777016992,1091,3141
341,24555840771.80778,20708,2840805.301046,10670873.615496986,10489218.110997995,181655.50449899994,13511678.916543003,1105,3142
342,24660991673.7675,20990,2886516.674334999,10829604.180206995,10631146.286921,198457.8932859998,13716120.854541995,1121,3129
343,24538091587.04569,20994,2803613.840173,10809666.626688007,10606724.303138014,202942.32354999977,13613280.466860967,1128,3122
344,24602095926.151264,20776,2793352.613527999,10662258.490211003,10462233.16857001,200025.32164099993,13455611.103739008,1111,3114
345,24677704327.308292,21030,2738525.226342002,10875655.541104006,10674485.529456005,201170.01164799972,13614180.767446006,1112,3116
346,24637590261.789734,20578,2753616.530332998,10525571.386651985,10332346.640528983,193224.74612300002,13279187.916984996,1117,3112
347,24669825450.454876,19345,2581830.6104389974,9908746.791252004,9715668.404861983,193078.38639000012,12490577.401691006,1069,3112
348,24670614381.38148,19978,2655050.380286999,10210960.304572968,10014999.184400981,195961.12017199988,12866010.684859999,1146,3110
349,24435357519.567112,20972,2688698.457457998,10648749.706476988,10458749.401674008,190000.30480299983,13337448.163934994,1100,3101
350,24444238585.04716,20958,2678949.4382569976,10620598.809868004,10419793.793242007,200805.01662600003,13299548.24812501,1132,3098
351,24456415918.186268,20893,2624884.786287003,10610328.301071018,10418770.50073,191557.80034099982,13235213.087358017,1102,3098
352,24441961174.746616,20575,2504238.923532999,10471206.705135003,10294904.01928799,176302.68584699967,12975445.62866802,1101,3099
353,24453012636.354958,20232,2374704.711557999,10257339.781183988,10075254.846552009,182084.9346319999,12632044.492741987,1109,3097
354,24463445965.412773,20498,2506718.0028350004,10384040.497628,10196394.776004007,187645.72162400035,12890758.50046299,1117,3093
355,24525857119.151546,20825,2686643.0909179966,10432669.578954015,10253205.99399999,179463.58495399982,13119312.669872016,1115,3101
356,24492895353.990475,20782,2594783.375049998,10438278.90232699,10259658.139349014,178620.76297799993,13033062.277377006,1106,3101
357,24507422389.30373,20692,2667955.550572997,10308269.078875976,10129358.047612004,178911.0312639999,12976224.629449012,1113,3103
358,24552945219.532307,21169,2686792.06701,10570418.410175,10384049.229392996,186369.18078200004,13257210.477184987,1115,3105
359,24623552540.37236,21023,2664954.2748340033,10514083.531862,10330584.264744988,183499.267117,13179037.80669601,1112,3105
360,24636399918.286034,21226,2574364.3379799994,10686311.58252301,10497943.630206991,188367.95231600024,13260675.920503013,1137,3114
361,24732308831.147827,21242,2609428.918574002,10682089.26731601,10500749.605508002,181339.661808,13291518.185890002,1139,3120
362,24724295922.90816,21266,2649032.264719002,10618875.971792007,10445865.392142003,173010.57965000003,13267908.236510996,1113,3122
363,24782466023.48011,21361,2500437.4243090027,10775414.643121997,10595765.56302699,179649.08009499952,13275852.067430984,1118,3120
364,25054390221.57303,20964,2517944.0266189985,10634985.694790993,10457618.816232026,177366.87855899995,13152929.72141003,1130,3122
365,25043681533.090954,21027,2550704.631103999,10602320.47886099,10432238.858357009,170081.62050400017,13153025.109964985,1117,3123
366,25028585125.722538,21098,2515519.4261249998,10608215.874579003,10434000.786466988,174215.0881119999,13123735.300704012,1116,3116
367,25065995673.156605,20902,2546109.3629350015,10474436.006017003,10310970.13855,163465.86746699968,13020545.368952012,1117,3117
368,25069171797.357857,21103,2508381.4214510014,10637144.758576974,10475430.466018995,161714.29255799975,13145526.180028008,1107,3121
369,25153834365.1088,21048,2618353.6957210004,10523448.373783996,10359618.15265899,163830.2211250001,13141802.069504984,1120,3119
370,25170337993.63893,21170,2563180.756487004,10616259.675734004,10445217.301126992,171042.37460699974,13179440.432220984,1112,3123
371,25107902330.817505,20982,2470870.2165409992,10524075.22374601,10359497.438181017,164577.78556500011,12994945.440287024,1108,3114
372,25087226705.234264,21095,2463351.318297001,10554677.96920001,10385845.751881013,168832.21731899993,13018029.287496982,1122,3112
373,25090663550.263504,21095,2476436.5834139963,10522061.434342012,10359116.716675993,162944.7176659998,12998498.017756011,1127,3115
374,25097784395.98756,20881,2459565.5043369993,10369656.544159,10201757.340079999,167899.2040789997,12829222.048495999,1141,3126
375,25174903471.204334,20731,2480838.4844499994,10258422.971564993,10094528.726603003,163894.244962,12739261.456015006,1117,3145
376,25272403210.02359,20525,2376820.5138259996,10225460.520860992,10066261.322312005,159199.19854900017,12602281.034687027,1103,3150
377,25197315592.27245,21014,2338144.3217850015,10485374.046241004,10324961.309671,160412.73656999998,12823518.368026005,1113,3145
378,25116738054.461662,21006,2362624.295994998,10382048.105833994,10228252.321831992,153795.78400199988,12744672.40182901,1121,3147
379,25058875481.57262,20948,2318963.368223,10339331.205542997,10186888.553768007,152442.65177499992,12658294.573765984,1123,3145
380,25065309972.207092,21270,2394448.553034999,10439257.297070999,10273062.537061997,166194.7600089998,12833705.850105997,1131,3148
381,25090595813.78864,20976,2298596.055508002,10326450.785407998,10168392.13594599,158058.64946200026,12625046.840916011,1127,3147
382,25079111896.910122,21186,2292006.669124001,10383971.978071012,10196651.641536994,187320.33653399989,12675978.64719499,1127,3144
383,25226159003.727356,20917,2295335.170568003,10313358.222802993,10093113.373704985,220244.84909799977,12608693.393370993,1110,3147
384,25363740356.767868,20998,2352978.4512799983,10372859.792568993,10148983.657941014,223876.13462799977,12725838.243849011,1128,3128
385,25388654503.848225,21174,2339366.4027310014,10473475.282356,10279524.533477,193950.74887899967,12812841.685086997,1132,3128
386,25107872285.168644,20893,2337526.2578010014,10149514.901531005,9963967.936070004,185546.96546100004,12487041.159332013,1107,3128
387,25418973672.435833,21065,2344640.551072001,10353578.848109996,10156352.344010003,197226.50410000002,12698219.39918198,1130,3123
388,25427056571.85636,21194,2274345.172563001,10467824.082747977,10269803.906831972,198020.17591600015,12742169.255311012,1115,3126
389,25480925138.421543,20811,2256427.6014610007,10244987.825480003,10075368.011073988,169619.81440599987,12501415.426940976,1110,3142
390,25522388224.360863,20916,2220280.4387789997,10339223.933589,10147456.341720015,191767.5918689999,12559504.372368008,1128,3136
391,25528807081.252354,21084,2214648.9861660013,10435972.392790005,10233876.576550009,202095.81624,12650621.378956031,1138,3133
392,25527915779.761406,20579,2182868.302608001,10108212.608602012,9930043.358983,178169.249619,12291080.91121,1116,3134
393,25470229362.739735,20821,2231031.8456820007,10149297.721133024,9967508.959935999,181788.76119699993,12380329.56681501,1135,3131
394,25488557413.70413,20553,2058167.9582969984,10141211.443246998,9957704.158613998,183507.2846329998,12199379.401543984,1101,3122
395,25227525931.32743,21034,2065811.7399000006,10234954.482066996,10058823.756350003,176130.7257169999,12300766.221967002,1130,3123
396,25227033187.95084,21174,2048874.5649180007,10207889.752085015,10029555.610368991,178334.14171599984,12256764.317003004,1125,3121
397,25226742158.734383,21003,2094132.2376899999,10048457.908743005,9871472.126609003,176985.78213399986,12142590.146432992,1116,3122
398,25191424718.540997,21190,2096582.1089969971,10081358.722605977,9899795.703292007,181563.01931399977,12177940.831603015,1144,3124
399,24933592431.810272,20970,2077080.634757998,9934729.511701996,9755840.181827003,178889.3298749999,12011810.146459999,1128,3118
400,24723813844.048306,21062,2038546.2509859975,9894409.893421995,9716902.662046984,177507.23137499974,11932956.144408008,1113,3120
401,24624938957.043167,20869,1983042.0867309999,9772987.351612011,9606138.53102001,166848.820592,11756029.438343003,1142,3113
402,24636696730.207344,21128,2102186.7982119997,9797483.503941009,9635228.34111,162255.1628309999,11899670.302152988,1126,3107
403,24548497878.810303,20893,2050399.0711080022,9627340.73749299,9456130.158744983,171210.5787479998,11677739.808600988,1129,3104
404,24344075637.969955,20828,2075681.099018,9420805.144759988,9248414.531778002,172390.612982,11496486.243777985,1112,3092
405,24343646388.238266,20811,2090514.9323430008,9246468.706696996,9082997.535526004,163471.17117099982,11336983.639039995,1102,3082
406,23852951996.36432,20954,2082675.2868559998,9044916.552282998,8875097.335177997,169819.21710500016,11127591.83913898,1106,3084
407,23803294025.775032,21107,2123822.5579199973,9184266.684977004,9014902.451521007,169364.23345599984,11308089.24289701,1096,3082
408,23823562870.11176,21176,2113134.9894870007,9110949.552461997,8933012.832475001,177936.719987,11224084.541949004,1128,3083
409,23308171278.006115,21000,2119388.546903999,8812254.533599002,8642018.451779997,170236.08181899975,10931643.080502998,1129,3091
410,23407071901.31579,20933,2084266.5089710006,8792543.95549501,8630708.66218501,161835.29330999966,10876810.464465989,1101,3087
411,23152102274.859123,21418,2049774.935026999,8669542.806599997,8480150.70516699,189392.10143300003,10719317.741626998,1106,3086
412,23113327351.010166,20966,1991442.334467999,8341388.464045005,8143595.88712699,197792.57691800027,10332830.798513006,1101,3082
413,23094499841.876003,21252,2076821.0464579975,8492537.930551989,8321876.178560998,170661.751991,10569358.977010014,1091,3079
414,22295045136.549706,21215,2012560.188676998,8419490.403611997,8264588.532104,154901.87150799972,10432050.592288999,1069,3076
415,22038246193.16702,20820,1964562.0669049995,8242198.494703998,8097986.054680994,144212.44002300006,10206760.561608993,1076,3106
416,22759595184.076767,21143,2073402.8809000012,8609704.038642,8466882.418490002,142821.62015200002,10683106.919542009,1108,3103
417,22842302638.51478,20947,2061370.2015840008,8520815.925100002,8376967.158431001,143848.76666899977,10582186.126684012,1125,3104
418,22760011177.229538,21066,1956654.353589001,8625407.157697009,8473572.823969983,151834.3337269998,10582061.511285983,1112,3093
419,22729170693.675724,20685,1964283.2432450003,8402848.71716799,8256714.8814960085,146133.83567199993,10367131.960412996,1117,3097
420,22735339826.891167,20649,1902363.089462999,8414849.431509994,8263998.072214982,150851.35929500006,10317212.520973008,1108,3092
421,22754191715.16417,20907,1851820.7988279974,8584519.584592992,8443623.533417007,140896.05117599992,10436340.383421015,1108,3091
422,22738857806.901493,21026,1937719.4974979998,8536987.296112016,8389141.538002998,147845.758109,10474706.793609992,1124,3096
423,22773418178.320267,20898,1932434.424048002,8455945.320096,8310967.645773005,144977.67432299975,10388379.744143983,1128,3093
424,22711253346.60051,21035,1969680.9923359994,8454827.397825,8313966.153873989,140861.24395100022,10424508.390161,1117,3095
425,22676707531.012207,21054,1965890.3589150005,8436843.019017007,8291003.899100001,145839.11991699992,10402733.377931995,1104,3095
426,22732516900.65618,20990,1891416.833974001,8481973.469942002,8305176.37536299,176797.09457900008,10373390.303916018,1114,3095
427,22579357645.29601,21085,1846660.9901109992,8380621.000961997,8199799.532787998,180821.46817400004,10227281.991073012,1121,3099
428,22632865782.292988,21049,1910097.5729350008,8338873.055256003,8173066.943265991,165806.11198999986,10248970.628191007,1128,3093
429,22662176862.96537,21105,1883893.9556979996,8368722.387428002,8201176.445383997,167545.94204399994,10252616.343126003,1128,3103
430,22686201305.546085,21089,1924842.8024729996,8315802.1810099995,8142424.591688001,173377.58932199987,10240644.983483002,1136,3104
431,22674711468.93432,20920,1942486.1285589987,8224824.230791992,8024347.105881,200477.12491100037,10167310.35935101,1112,3105
432,22695615637.522026,20294,1952062.3003109975,7884399.401699002,7694039.848692989,190359.55300599997,9836461.702010022,1134,3103
433,22739705233.01699,20936,1964917.8618449986,8199589.674034002,7985848.190545995,213741.4834879998,10164507.535878979,1146,3097
434,22870877219.04097,20986,2088183.908244003,8133345.869324995,7939448.839386995,193897.0299380002,10221529.777569,1134,3099
435,22726035890.48704,21021,2046449.3137140009,8111964.133437008,7914241.157637009,197722.9758000002,10158413.447151022,1105,3099
436,22679217241.34798,21262,2012339.4953970013,8189855.138777999,8001971.965171991,187883.17360599997,10202194.634174997,1116,3088
437,22701589918.36632,21255,1955946.3341409995,8226127.2520969985,8027134.556358007,198992.69573900028,10182073.586237978,1125,3081
438,22737914126.995117,20984,1956213.2375450006,8101825.479601004,7915666.908525005,186158.571076,10058038.717146002,1137,3080
439,22801871441.552044,21209,1959302.1592380004,8224894.907862992,8037359.592238005,187535.31562500013,10184197.06710101,1120,3079
440,22514867910.780052,21134,2018253.996857,7998249.647611006,7807320.857141004,190928.7904700001,10016503.644468015,1100,3076
441,22955109945.068604,21271,2056138.078778004,8206772.233309009,8023980.360070003,182791.873239,10262910.31208698,1100,3074
442,22940355522.696346,20981,2014859.05186,8055401.590232999,7870268.294109004,185133.2961240001,10070260.642092997,1087,3073
443,22988928834.088245,21157,2031264.2511070007,8109117.661674993,7914974.231977001,194143.4296980002,10140381.912782004,1115,3069
444,23004649208.04591,21097,2027728.6853409982,8092356.499737006,7887902.561186997,204453.93855000014,10120085.185078,1092,3040
