pool_id,ticker,stake_ada,pledge_ada,nu,pi,A,base,bonus,E,reward_at_pbar1_ada
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,58783442,100,0.763533,0.000001,0.000001,0.587333,0.000000,0.587333,18247
pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,RSTK,58739039,1000,0.762956,0.000013,0.000010,0.586889,0.000002,0.586891,18233
pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,N/A,58731975,0,0.762864,0.000000,0.000000,0.586819,0.000000,0.586819,18231
pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7,KILN7,58575892,100,0.760837,0.000001,0.000001,0.585259,0.000000,0.585259,18182
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,BRAVO,57913099,310000,0.752228,0.004027,0.003025,0.578637,0.000698,0.579335,17998
pool1f9934hk9awd25mmxl0dd2haqvda9nlquwnh5pv64hs42znl07zj,,57713356,200,0.749633,0.000003,0.000002,0.576641,0.000000,0.576642,17914
pool19kfm6lz5uw7nylq27swr367mqdycmug7tve94l6h3xsz64seqtc,KILN8,57587192,100,0.747995,0.000001,0.000001,0.575380,0.000000,0.575381,17875
pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze,ADAOZ,57562836,60000,0.747678,0.000779,0.000583,0.575137,0.000134,0.575272,17872
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,ST3AK,56896108,2789000,0.739018,0.036226,0.026429,0.568476,0.006099,0.574575,17850
pool1prc9hna2mgamtspchrygc66s9n4tlkvh39e3t9zccef4kzc3ns2,TERM,56618801,3350000,0.735416,0.043513,0.031499,0.565705,0.007269,0.572974,17801
pool1dl4695wfl79k7gtzt87gsf8gsqeq97yzuvaq0d4zxhz6c0nlf4g,BD2,57267267,200,0.743839,0.000003,0.000002,0.572184,0.000000,0.572184,17776
pool1xt7mjrtnsew3v33lu8sf93upf20sxhmcrfnpm82ra46yxk7uy45,ETO3,57000082,0,0.740369,0.000000,0.000000,0.569514,0.000000,0.569514,17693
pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,PAUL1,56964607,100000,0.739908,0.001299,0.000961,0.569160,0.000222,0.569382,17689
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,1LOVE,56735898,712000,0.736937,0.009248,0.006793,0.566875,0.001568,0.568442,17660
pool1ksrg8a964464las0ymw88slrwxkychjz9lh09lqltu5m7nw3pq0,QUEEN,56778167,250000,0.737486,0.003247,0.002392,0.567297,0.000552,0.567849,17641
pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,STR8,56626268,650000,0.735513,0.008443,0.006191,0.565779,0.001429,0.567208,17621
pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc,SECUR,56678107,100000,0.736187,0.001299,0.000956,0.566297,0.000221,0.566518,17600
pool1xucruwwxsym3u9v0m4ex3az5d4vpz9xu877vsl9udpt0q237e9m,KLF,56385521,0,0.732386,0.000000,0.000000,0.563374,0.000000,0.563374,17502
pool1wvaj307ee8jfewv9qjtgk0q3elmpe5lz4n2dec2303062f7dc4c,N/A,56219455,0,0.730229,0.000000,0.000000,0.561715,0.000000,0.561715,17451
pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x,SECUR,56092783,100000,0.728584,0.001299,0.000946,0.560449,0.000218,0.560667,17418
pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,EVE1,55967881,1000,0.726962,0.000013,0.000009,0.559201,0.000002,0.559203,17373
pool1qfxukshs4fkcrflzdnxa2fdza5lfvew3y6echg8ckaa4q8m5hyf,NEDS1,55813900,250000,0.724962,0.003247,0.002351,0.557663,0.000543,0.558205,17342
pool1cf7mqj0xd8z4jqhr7nf565mxuvepk8euv5t6ehmuwe49kfz9llr,TOKAI,55653450,100000,0.722877,0.001299,0.000938,0.556060,0.000217,0.556276,17282
pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,ADAFR,55020668,3030000,0.714658,0.039356,0.027684,0.549737,0.006389,0.556126,17277
pool1cunvnkjkzh2lna593sjmkylcr3r5rmxdpr8r9u6pfuer72p24x4,,55415071,2,0.719781,0.000000,0.000000,0.553678,0.000000,0.553678,17201
pool16eua0zalaln7q0s9u7jzlyygqad0pu2l2qdxx8r8ueqrw2jdhqf,ETO9,54629254,0,0.709574,0.000000,0.000000,0.545826,0.000000,0.545826,16957
pool106sjgd9m4shsvtc9ruk7femgndknefmct6eedskww37pzv8hz9n,,54485741,100,0.707710,0.000001,0.000001,0.544392,0.000000,0.544393,16913
pool1myvgx4ef424e6nw2strqq7dxcepav52plyyhxrk0avaw7y098l2,COOL2,54175452,100000,0.703680,0.001299,0.000914,0.541292,0.000211,0.541503,16823
pool147tju4482jtl253lgqq88fkefdugcuhaumf8m0rcj8uzxu846qm,N/A,53840852,0,0.699334,0.000000,0.000000,0.537949,0.000000,0.537949,16712
pool1up53z2kadt6l5xs359ckx477rpyvyg3favh25qrhqt2ujclpq3h,,53717135,10000,0.697727,0.000130,0.000091,0.536713,0.000021,0.536734,16675
pool1y6gnk7t3n6rvpr67f68mehxgqs5x24n0esz9l5j7m4aqzn4e0qw,N/A,52970906,0,0.688034,0.000000,0.000000,0.529257,0.000000,0.529257,16442
pool1q5q3rld4nll02w8sqhf9582jcf22t99yt27z0pqksvpnv4rdra9,N/A,52641841,0,0.683760,0.000000,0.000000,0.525969,0.000000,0.525969,16340
pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,1PCT2,52621279,50000,0.683493,0.000649,0.000444,0.525764,0.000102,0.525866,16337
pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu,EVRST,51900759,1000,0.674134,0.000013,0.000009,0.518565,0.000002,0.518567,16110
pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9,OCEA4,51688398,10000,0.671376,0.000130,0.000087,0.516443,0.000020,0.516463,16045
pool1mt8sdg37f2h3rypyuc77k7vxrjshtvjw04zdjlae9vdzyt9uu34,ABLE,51640538,5000,0.670754,0.000065,0.000044,0.515965,0.000010,0.515975,16030
pool1tdvqgy6mq7lx7d345e276xmgmhh3s4zj8dzu6xzq5m7rx4tzkg2,ONYX,51536413,250000,0.669402,0.003247,0.002170,0.514924,0.000501,0.515425,16013
pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch,STAT,51222036,750000,0.665318,0.009742,0.006450,0.511783,0.001488,0.513272,15946
pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,AOS,50583682,350000,0.657027,0.004546,0.002980,0.505405,0.000688,0.506093,15723
pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3,ECO,50364028,100000,0.654174,0.001299,0.000849,0.503210,0.000196,0.503406,15639
pool1wm5pnu72efdcvjm34r7ykkxx2h549swddjrn6r2aqy3tvjc4l57,FGMT6,50347816,0,0.653963,0.000000,0.000000,0.503049,0.000000,0.503049,15628
pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j,EVE2,50289793,1000,0.653209,0.000013,0.000008,0.502469,0.000002,0.502471,15610
pool1rmpv0h0pecysach8tj06vxx9wku2pdm74mk9cunx759v58q0hu2,SASA,50187458,80,0.651880,0.000001,0.000001,0.501446,0.000000,0.501446,15578
pool19l206haluae6wyzm7tjpt3gln9paa5m9s4fedec2u09fqz300ht,ETO10,50006985,0,0.649536,0.000000,0.000000,0.499643,0.000000,0.499643,15522
pool1wdujj7tmux5nuwnpeksgncendr3mj8ecsjcddpzx9gewc3flp4r,ETO6,50000385,0,0.649450,0.000000,0.000000,0.499577,0.000000,0.499577,15520
pool1jzk8rwf2fs5l02dmm6pm5tnw9stmd8jpmvsy54085vu2u2656re,ETO11,50000222,0,0.649448,0.000000,0.000000,0.499576,0.000000,0.499576,15520
pool1dzdxps32uqhva9q9urx4lm7m0nhlczjjccwy9kv4t2d3krsn4m7,ETO5,50000194,0,0.649448,0.000000,0.000000,0.499575,0.000000,0.499575,15520
pool1fvgmxt3688a5zl6amhvaqk9tmvk3lhxkgdsta6yj3czuy5hjwfy,ETO12,50000076,0,0.649446,0.000000,0.000000,0.499574,0.000000,0.499574,15520
pool1swuyjknhewtqcmh583jjpvlcl0p9h9hrt5l2f3v2hl6gchqrn40,ETO4,49999975,0,0.649445,0.000000,0.000000,0.499573,0.000000,0.499573,15520
