epoch_no,start_date_utc,reserve_ada,rho_rate,eta_capped,tau_rate,d_decentralisation,transition_gate,monetary_expansion_nominal_ada,monetary_expansion_eta_adjusted_ada,monetary_expansion_pool_side_ada,is_current_partial_epoch
343,2022-06-04,10467739665.223955,0.003000,0.971944,0.200000,0.000000,1,31403218.995672,30522184.240516,24417747.392412,False
344,2022-06-09,10448049960.041700,0.003000,0.961852,0.200000,0.000000,1,31344149.880125,30148428.606920,24118742.885536,False
345,2022-06-14,10428470110.767405,0.003000,0.973611,0.200000,0.000000,1,31285410.332302,30459823.115200,24367858.492160,False
346,2022-06-19,10409105745.481117,0.003000,0.952685,0.200000,0.000000,1,31227317.236443,29749802.504238,23799842.003390,False
347,2022-06-24,10389506871.116964,0.003000,0.895602,0.200000,0.000000,1,31168520.613351,27914584.780800,22331667.824640,False
348,2022-06-29,10370377949.854532,0.003000,0.924907,0.200000,0.000000,1,31111133.849564,28774918.150305,23019934.520244,False
349,2022-07-04,10352411929.782701,0.003000,0.970926,0.200000,0.000000,1,31057235.789348,30154275.415473,24123420.332378,False
350,2022-07-09,10333899043.124872,0.003000,0.970278,0.200000,0.000000,1,31001697.129375,30080257.798029,24064206.238423,False
351,2022-07-14,10314641202.700476,0.003000,0.967269,0.200000,0.000000,1,30943923.608101,29931083.145558,23944866.516447,False
352,2022-07-19,10295428286.983072,0.003000,0.952546,0.200000,0.000000,1,30886284.860949,29420616.250650,23536493.000520,False
353,2022-07-24,10276330879.384623,0.003000,0.936667,0.200000,0.000000,1,30828992.638154,28876489.771071,23101191.816857,False
354,2022-07-29,10257589126.504652,0.003000,0.948981,0.200000,0.000000,1,30772767.379514,29202786.377096,23362229.101677,False
355,2022-08-03,10239288792.981607,0.003000,0.964120,0.200000,0.000000,1,30717866.378945,29615720.710256,23692576.568205,False
356,2022-08-08,10220679892.460661,0.003000,0.962130,0.200000,0.000000,1,30662039.677382,29500856.878489,23600685.502791,False
357,2022-08-13,10201748722.980991,0.003000,0.957963,0.200000,0.000000,1,30605246.168943,29318692.302211,23454953.841769,False
358,2022-08-18,10182918483.065563,0.003000,0.980046,0.200000,0.000000,1,30548755.449197,29939194.634447,23951355.707557,False
359,2022-08-23,10164188969.499216,0.003000,0.973287,0.200000,0.000000,1,30492566.908498,29678020.098025,23742416.078420,False
360,2022-08-28,10145052424.519947,0.003000,0.982685,0.200000,0.000000,1,30435157.273560,29908178.161508,23926542.529207,False
361,2022-09-02,10126038387.141607,0.003000,0.983426,0.200000,0.000000,1,30378115.161425,29874626.030509,23899700.824407,False
362,2022-09-07,10106899741.240898,0.003000,0.984537,0.200000,0.000000,1,30320699.223723,29851851.374615,23881481.099692,False
363,2022-09-12,10087736962.737261,0.003000,0.988935,0.200000,0.000000,1,30263210.888212,29928354.064032,23942683.251226,False
364,2022-09-17,10068593369.607164,0.003000,0.970556,0.200000,0.000000,1,30205780.108821,29316387.694506,23453110.155605,False
365,2022-09-22,10049419651.037033,0.003000,0.973472,0.200000,0.000000,1,30148258.953111,29348492.639216,23478794.111373,False
366,2022-09-27,10030500598.819483,0.003000,0.976759,0.200000,0.000000,1,30091501.796458,29392153.004707,23513722.403766,False
367,2022-10-02,10011568005.046602,0.003000,0.967685,0.200000,0.000000,1,30034704.015140,29064138.116873,23251310.493498,False
368,2022-10-07,9992648700.658976,0.003000,0.976991,0.200000,0.000000,1,29977946.101977,29288175.768056,23430540.614445,False
369,2022-10-12,9973897045.344555,0.003000,0.974444,0.200000,0.000000,1,29921691.136034,29157025.695891,23325620.556712,False
370,2022-10-17,9954979169.676613,0.003000,0.980093,0.200000,0.000000,1,29864937.509030,29270404.030841,23416323.224673,False
371,2022-10-22,9936114349.742975,0.003000,0.971389,0.200000,0.000000,1,29808343.049229,28955493.234209,23164394.587367,False
372,2022-10-27,9917197168.085497,0.003000,0.976620,0.200000,0.000000,1,29751591.504256,29056010.313995,23244808.251196,False
373,2022-11-01,9898528859.081034,0.003000,0.976620,0.200000,0.000000,1,29695586.577243,29001314.761433,23201051.809146,False
374,2022-11-06,9879803953.263264,0.003000,0.966713,0.200000,0.000000,1,29639411.859790,28652803.659457,22922242.927566,False
375,2022-11-11,9861116544.907808,0.003000,0.959769,0.200000,0.000000,1,29583349.634723,28393167.651734,22714534.121387,False
376,2022-11-16,9842652064.089821,0.003000,0.950231,0.200000,0.000000,1,29527956.192269,28058393.557700,22446714.846160,False
377,2022-11-21,9824321019.586905,0.003000,0.972870,0.200000,0.000000,1,29472963.058761,28673372.486889,22938697.989511,False
378,2022-11-26,9806194893.505457,0.003000,0.972500,0.200000,0.000000,1,29418584.680516,28609573.601802,22887658.881442,False
379,2022-12-01,9787739043.117847,0.003000,0.969815,0.200000,0.000000,1,29363217.129354,28476882.982671,22781506.386137,False
380,2022-12-06,9769359542.724409,0.003000,0.984722,0.200000,0.000000,1,29308078.628173,28860316.315798,23088253.052639,False
381,2022-12-11,9751099859.203472,0.003000,0.971111,0.200000,0.000000,1,29253299.577610,28408204.256479,22726563.405184,False
382,2022-12-16,9732579730.335268,0.003000,0.980833,0.200000,0.000000,1,29197739.191006,28638115.856512,22910492.685209,False
383,2022-12-21,9714372537.673880,0.003000,0.968380,0.200000,0.000000,1,29143117.613022,28221601.440351,22577281.152281,False
384,2022-12-26,9696062028.066324,0.003000,0.972130,0.200000,0.000000,1,29088186.084199,28277487.564630,22621990.051704,False
385,2022-12-31,9677898230.050331,0.003000,0.980278,0.200000,0.000000,1,29033694.690151,28461085.711540,22768868.569232,False
386,2023-01-05,9659613006.525152,0.003000,0.967269,0.200000,0.000000,1,28978839.019575,28030318.686851,22424254.949481,False
387,2023-01-10,9641213380.131504,0.003000,0.975231,0.200000,0.000000,1,28923640.140395,28207244.423954,22565795.539163,False
388,2023-01-15,9623238621.042507,0.003000,0.981204,0.200000,0.000000,1,28869715.863128,28327072.129774,22661657.703819,False
389,2023-01-20,9605003170.159445,0.003000,0.963472,0.200000,0.000000,1,28815009.510478,27762461.246415,22209968.997132,False
390,2023-01-25,9586693644.501589,0.003000,0.968333,0.200000,0.000000,1,28760080.933505,27849345.037277,22279476.029822,False
391,2023-01-30,9568737675.719032,0.003000,0.976111,0.200000,0.000000,1,28706213.027157,28020453.493731,22416362.794984,False
392,2023-02-04,9550707326.420076,0.003000,0.952731,0.200000,0.000000,1,28652121.979260,27297778.620889,21838222.896711,False
393,2023-02-09,9532573493.585434,0.003000,0.963935,0.200000,0.000000,1,28597720.480756,27566348.987492,22053079.189994,False
394,2023-02-14,9514934935.216516,0.003000,0.951528,0.200000,0.000000,1,28544804.805650,27161174.683820,21728939.747056,False
395,2023-02-19,9497133409.472784,0.003000,0.973796,0.200000,0.000000,1,28491400.228418,27744820.018729,22195856.014983,False
396,2023-02-24,9479585689.711008,0.003000,0.980278,0.200000,0.000000,1,28438757.069133,27877881.582492,22302305.265993,False
397,2023-03-01,9461815546.187508,0.003000,0.972361,0.200000,0.000000,1,28385446.638563,27600904.432858,22080723.546286,False
398,2023-03-06,9443972566.840347,0.003000,0.981019,0.200000,0.000000,1,28331917.700521,27794135.929354,22235308.743483,False
399,2023-03-11,9426301009.576748,0.003000,0.970833,0.200000,0.000000,1,28278903.028730,27454101.690392,21963281.352314,False
400,2023-03-16,9408537858.242252,0.003000,0.975093,0.200000,0.000000,1,28225613.574727,27522586.718097,22018069.374478,False
401,2023-03-21,9391113276.049044,0.003000,0.966157,0.200000,0.000000,1,28173339.828147,27219880.966370,21775904.773096,False
402,2023-03-26,9373759520.550476,0.003000,0.978148,0.200000,0.000000,1,28121278.561651,27506776.548638,22005421.238910,False
403,2023-03-31,9356641772.388784,0.003000,0.967269,0.200000,0.000000,1,28069925.317166,27151155.076461,21720924.061169,False
404,2023-04-05,9339311033.457903,0.003000,0.964259,0.200000,0.000000,1,28017933.100374,27016551.417342,21613241.133873,False
405,2023-04-10,9322254273.087788,0.003000,0.963472,0.200000,0.000000,1,27966762.819263,26945199.121837,21556159.297470,False
406,2023-04-15,9305382922.879305,0.003000,0.970093,0.200000,0.000000,1,27916148.768638,27081249.134168,21664999.307335,False
407,2023-04-20,9288701770.557404,0.003000,0.977176,0.200000,0.000000,1,27866105.311672,27230087.259883,21784069.807906,False
408,2023-04-25,9272157715.492361,0.003000,0.980370,0.200000,0.000000,1,27816473.146477,27270446.081009,21816356.864807,False
409,2023-04-30,9255427816.188677,0.003000,0.972222,0.200000,0.000000,1,27766283.448566,26994997.797217,21595998.237774,False
410,2023-05-05,9238655017.642056,0.003000,0.969120,0.200000,0.000000,1,27715965.052926,26860106.317264,21488085.053811,False
411,2023-05-10,9222302989.055674,0.003000,0.991574,0.200000,0.000000,1,27666908.967167,27433789.641610,21947031.713288,False
412,2023-05-15,9206053137.433249,0.003000,0.970648,0.200000,0.000000,1,27618159.412300,26807515.288809,21446012.231047,False
413,2023-05-20,9189561743.422241,0.003000,0.983889,0.200000,0.000000,1,27568685.230267,27124523.079335,21699618.463468,False
414,2023-05-25,9173472878.616636,0.003000,0.982176,0.200000,0.000000,1,27520418.635850,27029892.655535,21623914.124428,False
415,2023-05-30,9157220397.160137,0.003000,0.963889,0.200000,0.000000,1,27471661.191480,26479628.981788,21183703.185430,False
416,2023-06-04,9141408669.939478,0.003000,0.978843,0.200000,0.000000,1,27424226.009818,26844000.487296,21475200.389837,False
417,2023-06-09,9126046644.944244,0.003000,0.969769,0.200000,0.000000,1,27378139.934833,26550458.204395,21240366.563516,False
418,2023-06-14,9110127202.404425,0.003000,0.975278,0.200000,0.000000,1,27330381.607213,26654713.839702,21323771.071761,False
419,2023-06-19,9094338748.570024,0.003000,0.957639,0.200000,0.000000,1,27283016.245710,26127277.363079,20901821.890463,False
420,2023-06-24,9078521499.110563,0.003000,0.955972,0.200000,0.000000,1,27235564.497332,26036443.115991,20829154.492793,False
