epoch_no,source,total_active_stake_ada,active_pool_count,lt_3m_ada_stake_ada,lt_3m_ada_pool_count,3m_10m_ada_stake_ada,3m_10m_ada_pool_count,10m_20m_ada_stake_ada,10m_20m_ada_pool_count,20m_30m_ada_stake_ada,20m_30m_ada_pool_count,30m_40m_ada_stake_ada,30m_40m_ada_pool_count,40m_50m_ada_stake_ada,40m_50m_ada_pool_count,50m_60m_ada_stake_ada,50m_60m_ada_pool_count,60m_70m_ada_stake_ada,60m_70m_ada_pool_count,gt_70m_ada_stake_ada,gt_70m_ada_pool_count
237,local_history,20478038471.514507,1403,359787288.81477946,875,617680631.5119689,114,1234938916.8456612,82,1094787789.4762292,44,1152210034.7722242,33,1617737910.3574004,36,6311653980.976992,114,5365079052.526389,85,2724162866.2328577,20
238,local_history,20598560072.62083,1410,371604911.5096076,888,604341727.515547,108,1224326418.5895147,81,1032610370.963112,42,1195215044.9687524,34,1576166443.8481038,35,6376306540.91987,115,5486587122.384301,87,2731401491.922042,20
239,local_history,21356205100.359573,1410,371294805.35826665,860,587710708.1934861,105,1251846211.6542199,82,867289270.1842071,36,1334610908.9166613,38,1689954403.6355448,37,6520744773.24016,118,8118839216.722473,128,613914802.454577,6
240,local_history,21440591255.207733,1424,365767897.93781525,868,603882359.1096592,108,1271527962.2688575,82,819659542.1169521,34,1462764780.284726,42,1886560566.988833,41,6516442637.891923,118,8012347979.170648,126,501637529.438354,5
241,local_history,21632982170.7612,1431,364213370.7330672,869,611280349.2262089,109,1260190483.2744312,82,970713497.455725,40,1137124646.888631,33,2063969212.8098683,45,6676748381.111239,121,7956808373.561225,125,591933855.7008129,7
242,local_history,21755094259.019897,1452,363203246.4443745,863,664547391.3927678,121,1607299720.8076172,106,770896024.662547,32,1074877671.4638972,31,2091269127.752476,46,6448145389.466013,117,8322659659.465449,131,412196027.5648091,5
243,local_history,21849089085.26033,1467,371602560.1371011,879,664543452.2857667,119,1586381047.3925376,104,836092049.0394949,35,931044912.376907,27,2298826584.1161184,51,6339117118.604754,115,8409141474.844313,132,412339886.463388,5
244,local_history,21956206748.623653,1489,368414473.6581054,893,731304447.3394598,128,1537552317.2391639,100,916132046.2237198,38,1118196684.8199801,32,2112045892.3827782,46,6198152934.320378,112,8638888673.951792,136,335519278.68829596,4
245,local_history,22086904770.458763,1525,373452472.8848574,925,714807050.7616688,126,1580372989.8860683,102,1060980648.7769248,44,1105770710.3126602,31,1912157762.8172007,42,6457070531.266517,117,8540896124.320395,134,341396479.4325299,4
246,local_history,22190441040.634068,1534,380515708.9011641,930,755012973.3192215,130,1533500673.990743,100,1019554448.6324152,42,1051331774.72569,30,1885235006.9131231,42,6907433795.685617,125,8314276728.3828335,131,343579930.083287,4
247,local_history,22275517879.395283,1588,347456525.58165616,923,1068161170.3595986,188,1552328624.8907332,104,1202669797.6620271,49,994321147.116331,28,1959387692.906999,43,6752670175.156279,122,8075627097.9234915,127,322895647.798214,4
248,local_history,22376311335.66071,1603,359573902.38972014,931,1037698262.8134449,184,1692547281.0349855,114,1186468303.8035572,49,1153152172.832058,33,1779986614.891397,39,6782911557.586679,123,7887455560.87064,124,496517679.438346,6
249,local_history,22369166376.49282,1645,352395394.45063037,971,1006223726.6857367,181,1878108401.3019793,124,1140627024.0100102,46,981702676.0010529,28,2100141931.9156766,46,6559404412.640918,120,7890281214.671623,124,460281594.815269,5
250,local_history,23034831199.28575,1723,368474385.7271491,1023,1021986981.4298453,186,1815253891.916331,120,1249875005.9951656,51,1684287492.2544487,50,2272120828.402684,50,6273736559.023851,115,7763802413.408942,122,585293641.127421,6
251,local_history,23028427838.128735,1813,385897497.73062646,1110,1048538447.3584548,189,1787866610.5658443,117,1204253846.4427867,50,1872756940.7383611,55,2149631444.6114426,48,6455546266.767244,119,7693256877.548116,121,430679906.365892,4
252,local_history,22675992136.32678,1885,403950571.533624,1181,1040704063.3302133,190,1849376480.8224158,121,1278530271.270058,53,2029059821.8233848,59,2639280544.862977,58,6364537923.300465,117,6378803330.652009,100,691749128.731652,6
253,local_history,22807568628.32658,1986,421766690.011653,1279,1112243163.3442607,197,1742089146.18171,114,1490130793.920698,61,1954471816.5462816,57,2670145477.3614554,59,5807355896.339931,107,6818055061.187462,107,791310583.4331479,5
254,local_history,22929461287.895603,2076,432997339.7293711,1365,1073853734.9384735,192,1806002036.0144322,120,1454503474.353374,60,2058127059.6071658,60,2980423017.8737626,65,5547235934.602563,102,6815185486.023079,107,761133204.753439,5
255,local_history,22753958467.474937,2154,455314752.5125468,1443,1081295644.6880348,191,1772359513.347379,120,1517899713.5519881,63,2143744392.4733002,63,2764805887.813838,61,5537296407.93743,102,6805301212.154093,107,675940942.996343,4
256,local_history,22488877070.796886,2208,457668863.9143281,1492,1154360597.3766036,203,1722256782.087051,114,1636352191.5539596,67,2247910670.7275734,66,2608177289.504035,58,5501887579.873171,102,6545788924.296661,103,614474171.4635229,3
257,local_history,22670949084.364777,2245,473923248.0980645,1521,1109478550.6724482,202,1852545315.2367349,123,1481496104.7011425,61,2390674925.08995,70,2770094207.391974,61,5596764774.076077,103,6430334068.253045,101,565637890.845362,3
258,local_history,22760955541.83454,2291,483491634.1285305,1564,1090327472.8131812,202,1911975301.628231,127,1456131955.7685735,59,2406916253.8422866,70,2734851205.5046096,61,5770610812.533248,106,6262687778.742955,98,643963126.872922,4
259,local_history,22791959380.285606,2329,492545786.93145,1595,1090959436.9841185,202,1945722245.108405,130,1421282328.5680406,58,2622170393.219628,76,2860711739.06201,63,5557165735.832535,102,6177384237.316648,97,624017477.262803,6
260,local_history,22796009141.13442,2356,485774832.05480266,1616,1112223253.8155298,207,1968228024.1618092,131,1613620825.1694057,65,2548177282.6373806,73,2591232903.931293,57,6329815075.658092,115,5514743299.127967,86,632193644.578114,6
261,local_history,22716225550.169712,2378,491358222.5805684,1636,1119420655.3005455,208,1891950757.5165787,127,1642546216.259055,67,2666914526.104924,77,2693948880.8483424,60,6069949818.414604,111,5502967411.649004,86,637169061.496101,6
262,local_history,22755688720.340305,2390,495734685.1316543,1643,1131047804.359979,212,1898854178.7277668,127,1762655448.831346,71,2659265242.734394,76,2802392047.4052124,62,5913625090.908176,108,5446553022.229636,85,645561200.012131,6
263,local_history,22726917708.8734,2410,499862000.2978278,1663,1124420572.983815,211,1916502228.9550765,128,1702491496.6831353,69,2555605027.5830903,74,2861581928.0165553,64,6287164419.0417185,115,5198126291.090608,81,581163744.221542,5
264,local_history,22955953661.89682,2443,476133433.2283606,1677,1172352614.904805,222,2077849762.7653365,137,1670109131.7490277,67,2452652538.0728188,71,2893310781.912011,65,6044913371.364498,111,5772820440.476333,90,395811587.42361295,3
265,local_history,23026399223.41148,2459,483670956.4326011,1693,1189235607.4353921,224,2071114740.9268274,135,1671763469.4274254,67,2436437187.9990263,70,2848624048.739583,64,6030693941.4487295,111,5896610369.342311,92,398248901.659613,3
266,local_history,23083634214.1177,2486,490535150.3628462,1715,1219184100.0542927,229,2113533303.901959,136,1624615858.859416,65,2566009470.62645,73,3005478034.8591075,67,5707887593.220313,105,5954528900.096762,93,401861802.13653696,3
267,local_history,23021654510.41951,2500,500267526.8598256,1732,1212832474.1763668,227,2085043554.8071086,134,1665027959.0632286,66,2686169760.069614,76,3203064853.348812,71,5571011842.273806,102,5699652209.787131,89,398584330.033576,3
268,local_history,22843314790.026745,2488,486770583.3722407,1702,1259887353.9695237,247,2124212987.4635658,136,1665406721.223047,65,2644761513.3194895,76,3370087004.8850784,75,5367765460.445975,98,5523023324.368016,86,401399840.979797,3
269,local_history,22786770256.60496,2507,487141176.37143433,1726,1252790598.8088968,244,2098694478.4037504,134,1644815635.2528937,64,2785431422.3861675,80,3133594537.306065,70,5581797048.457536,102,5400895005.419057,84,401610354.19915104,3
270,local_history,22893778548.073586,2539,484921617.4039337,1755,1260464786.5949242,246,2072870281.3580809,133,1599702142.1869867,63,2846324924.236634,82,3244439309.981657,72,5229262580.33035,96,5653435850.294511,88,502357055.686443,4
271,local_history,22970909569.111313,2570,501267351.3461572,1789,1225237923.80075,240,2081217763.0886922,135,1430152547.6942914,57,3088177091.6775966,89,3236690459.438435,72,4944143764.535813,91,5958002110.25379,93,506020557.27582103,4
272,local_history,23020000415.780613,2583,504539844.2476295,1803,1213290484.3887393,238,2068453384.541861,134,1445725722.856357,58,2916508022.8602023,84,3406890894.68693,76,5158541652.03135,95,5902776843.108432,92,403273567.059111,3
273,local_history,23075664958.74651,2595,519621559.69769794,1814,1220533346.8493826,239,2112062884.2629735,136,1388747759.5877595,56,2930253862.894916,84,3466741777.0932345,77,5062706102.732299,93,5898739667.427826,92,476257998.20048404,4
274,local_history,23094302016.775856,2634,510384236.7533135,1850,1215097561.4182944,239,2157959236.5021644,139,1415664309.093326,57,2967722487.947281,85,3036462426.562877,68,5414182327.515957,100,5891345788.945568,92,485483642.03717196,4
275,local_history,23006172979.540237,2655,516440509.1808353,1872,1222688233.5463872,239,2124662262.0496297,138,1422451262.4510632,57,2929296066.1513853,84,3053372449.6155353,68,5937690598.202324,109,5473249536.102228,85,326322062.240886,3
276,local_history,23092420021.153866,2666,530781863.03011495,1883,1219441686.1214015,237,2176977723.8625245,141,1392105558.1197352,56,2741117817.1848993,79,3468618762.754817,77,5379415968.833695,99,5857469617.766363,91,326491023.480336,3
277,local_history,23196615273.348488,2684,536705319.57142967,1896,1247251561.4791064,241,2117205272.4493175,137,1492177530.1184776,60,2670882363.5645227,77,3473761515.53491,77,5487812526.869548,101,5933590437.263444,92,237228746.49781,3
278,local_history,23196379717.22826,2710,535159964.8732154,1921,1266796565.7952054,243,2087971230.9735196,135,1511383717.8166606,61,2718562876.7948246,78,3667431471.807173,81,4928937561.37939,91,6242825773.036401,97,237310554.751922,3
279,local_history,23210733595.257263,2714,535073361.45807797,1910,1346836124.565272,257,2131704506.443379,141,1499413252.0988178,60,2697950010.13579,77,3410861513.96383,75,4860459858.103291,90,6491063046.074732,101,237371922.41412902,3
280,local_history,23230827525.68359,2729,548911672.0511794,1922,1340593197.3632102,256,2125008833.4154992,142,1533122532.5292304,62,2790705372.915411,80,3363648725.0511436,74,5221188248.817278,96,5996641545.849086,93,311007397.691589,4
281,local_history,23254470605.645172,2735,564360389.2969829,1928,1308936318.1076217,253,2208329173.037472,147,1464262093.2184618,58,2926869920.979449,84,3468116738.190904,76,4959093636.078999,91,6197367364.6398535,96,157134972.095489,2
282,local_history,23244660857.359665,2758,565422485.167494,1951,1304102928.519057,251,2193389270.294476,147,1481140498.8551567,59,2951813855.0401883,85,3499713217.968224,77,4964596170.516175,91,6127143696.687522,95,157338734.311459,2
283,local_history,23277148789.435486,2770,565071215.0347923,1962,1297728559.7553527,251,2188911419.589792,147,1444136586.8743844,58,3092432454.3932176,89,3322185121.11284,73,4961662994.317538,91,6321795090.072192,98,83225348.285423,1
284,local_history,23275724668.51116,2798,572993165.1564676,1992,1292133381.4109013,249,2268092926.930164,152,1392887018.945357,55,2984222697.324695,86,3174607500.9141016,70,5180950803.222211,95,6326515007.348066,98,83322167.259248,1
285,local_history,23159940155.010082,2813,568495253.2196821,2002,1333388554.4276037,256,2209956373.1384077,149,1445681134.0269723,58,2991184555.634505,86,3215126297.966253,71,4983918450.639434,92,6328723682.741156,98,83465853.216101,1
286,local_history,23141094607.453682,2823,582204187.5176114,2012,1362063231.3061473,258,2132485974.983233,144,1521368441.6595683,62,3059979503.128115,88,3141989050.2333264,69,5038684340.0819235,93,6146954286.665804,95,155365591.87800097,2
287,local_history,23041097075.076717,2835,588785044.6920632,2022,1374339213.9968138,261,2199161900.3238163,148,1511210392.1184094,61,2943616434.5491657,85,3231188263.267912,71,4759895300.284777,88,6201913657.186538,96,230986868.657314,3
288,local_history,23136223153.98838,2836,580213234.6769499,2020,1377392856.052027,261,2181459919.263536,147,1700083158.935002,69,2855145651.042849,82,2958693996.600547,65,4862003237.052699,90,6390931229.383572,99,230299870.98120898,3
289,local_history,23311196777.53461,2839,572946315.591059,2016,1366487834.6257021,263,2198814191.4526443,150,1684022366.2774754,68,2776227820.79586,80,2759617494.105705,61,5357077076.186161,99,6520419279.576443,101,75584398.923662,1
290,local_history,23253494675.755272,2851,572883556.3305761,2028,1353780326.9180162,262,2195496935.660736,150,1789078341.1688778,72,2737426610.4498806,79,2904686540.2201414,64,5101272665.218778,94,6520938483.823953,101,77931215.964319,1
291,local_history,23219858534.473045,2874,570270288.0420661,2053,1340349431.117052,260,2199903631.4054837,150,1771270018.9628212,71,2770248851.4544444,80,3062141060.3536363,67,5018524170.221176,93,6265931610.964435,97,221219471.951923,3
292,local_history,23325839206.372475,2878,590867170.241756,2058,1306726621.1071117,254,2220617368.1466336,152,1814736327.1612263,73,2874754235.828661,83,2931379374.0717363,64,4973655282.761387,92,6462766845.21596,100,150335981.83796602,2
293,local_history,23395112387.18589,2881,580418113.3653629,2055,1343495028.8965464,261,2240125360.2379084,152,1649913344.0230582,67,3065732717.613254,89,2886396225.9635544,63,4805950433.595615,89,6600310703.711941,102,222770459.778634,3
294,local_history,23382668673.546524,2897,590459857.3271104,2075,1308978894.0565834,255,2247790669.8409653,154,1733212104.219761,70,2972257141.793825,86,2988131932.2407227,65,4774365449.392225,88,6544455130.424817,101,223017494.25057298,3
295,local_history,23411124422.16434,2914,585012465.9713063,2087,1334385487.3250945,261,2125895620.733237,146,1921328473.712657,78,2906568145.378408,84,3010956302.6167755,66,4766555413.164726,88,6612793931.253224,102,147628582.008869,2
296,local_history,23445774697.795326,2928,596217983.9438255,2104,1296603246.1941583,255,2232837279.8585277,153,1823003050.3109887,73,2857555256.471627,83,3089651406.8397555,68,4595320340.476672,85,6807071271.132173,105,147514862.56755,2
297,local_history,23478023193.51307,2931,611068143.94346,2107,1327270091.7417223,259,2163600262.2550693,148,1867442713.2049625,74,2817949472.9494724,82,3141563178.5700145,69,4780090302.986123,88,6622100598.746213,102,146938429.11598098,2
298,local_history,23511990337.86578,2943,600841065.344797,2126,1339024091.6390173,260,1981939039.9013414,134,1810949148.963287,72,3047114490.2947717,89,3126347224.020597,69,4595752258.656828,85,6862734602.387107,106,147288416.657978,2
299,local_history,23564534162.883224,2938,602146999.8829222,2119,1346822663.8389819,262,2017732075.828414,136,1820067042.4454193,71,3055144400.8727064,89,3285877228.918188,72,4646655929.435373,85,6636715509.596427,102,153372312.06473,2
300,local_history,23882888816.746334,2932,612508926.4875681,2110,1331885396.1028004,258,1976383985.9754248,134,1955777022.856072,77,3096469804.660147,90,3233237626.3309627,71,4483111332.984015,82,6963684354.65329,107,229830366.696028,3
301,local_history,23857504839.45495,2942,601943600.4696515,2114,1360451381.5237384,265,1978096778.4649158,134,1912262603.992572,75,3114617516.1988163,91,3144642541.0129867,69,4756778394.686313,87,6758838511.925358,104,229873511.18063,3
302,local_history,23848572589.189342,2936,623951030.8894945,2111,1364544278.7883077,264,2006770880.1920795,135,1941449418.282764,76,2993262660.574512,87,3242388400.5586247,71,4549651699.675723,83,6888611162.582293,106,237943057.64551002,3
303,local_history,23849267970.809715,2935,630460268.2909391,2114,1387430210.712323,265,1966434584.4069092,131,1989117163.9464855,78,2939175293.916288,85,3013409515.5395923,66,4603857510.679959,84,7072221020.846992,109,247162402.47019303,3
304,local_history,23856125875.170696,2948,623126167.7787377,2122,1413411418.792726,270,1998882559.069284,132,2049627586.0529404,80,2725618655.960391,79,3243842461.080505,71,4677798139.9505205,85,6954975384.610503,107,168843501.875106,2
305,local_history,23854747611.96425,2959,651127761.416903,2149,1336198559.2370965,257,1875803409.195241,125,2027651042.3908722,80,2834837872.512047,82,3135459361.543783,69,4539416904.6672945,83,7208708369.549148,111,245544331.45187902,3
306,local_history,23836977371.261265,2950,647500508.023841,2142,1365814292.9519665,260,1893911264.6611161,124,1770988530.1541169,70,2857511534.484096,83,3421523332.3221645,76,4138960260.035936,76,7574758947.906159,117,166008700.721872,2
307,local_history,23854464200.396248,2971,648845073.7497567,2170,1319701977.3129983,254,1859548281.7049704,122,1742503264.4144745,70,2858320705.594164,83,3187235203.69204,71,4279249041.5149198,79,7795941822.544734,120,163118829.868261,2
308,local_history,23828103259.412354,2967,642602194.6368637,2166,1307532649.8166182,254,1852438882.1098747,121,1660998805.3364296,67,3214618606.6367044,93,3253556265.293995,72,3813200943.1713343,70,7996404120.212062,123,86750792.198438,1
309,local_history,23765024934.948162,2960,631086548.362107,2156,1300694030.730141,254,1973226583.8232083,131,1664051078.8691268,67,3081806572.920316,89,2934051430.7829094,65,3709932843.824288,68,8313226109.848246,128,156949735.787816,2
310,local_history,23777625558.16979,2969,627194336.6494403,2164,1344636592.0980003,259,1929432845.979467,127,1762186941.472201,70,3025154543.18392,87,2734743795.505813,61,3883764541.2280016,71,8309216237.264934,128,161295724.78805798,2
311,local_history,23732237106.487244,2965,613046742.1500444,2165,1295918000.6181226,255,1867607947.1659338,123,1780272098.3797486,71,2977200125.1992874,86,2802445831.4782896,63,3994426845.453859,73,8239359491.263472,127,161960024.77846003,2
312,local_history,23741900713.307335,2970,626845287.4607255,2175,1280196059.8194158,251,1860091056.2746158,122,1773294798.3392465,71,2903999692.9757237,84,2700717602.9067063,61,4257064806.1752067,78,8177789248.435015,126,161902160.920671,2
313,local_history,23726880119.033787,2972,623583616.4029256,2176,1265780052.9949756,252,1851201040.7836616,122,1886825895.7044775,75,2646618644.0195003,77,2829000970.8455243,64,4168912568.43585,76,8289324797.832885,128,165632532.014053,2
314,local_history,23604987896.132526,2962,627091087.6195253,2172,1258010789.7559547,249,1793160630.2585826,119,1957519926.9587543,78,2651696044.208093,77,2850220218.73465,64,4078038295.7192097,74,8224579055.2774105,127,164671847.600322,2
315,local_history,23537012833.083862,2961,625011155.7143923,2173,1271366006.4737473,248,1780436022.6739223,118,2018485838.9938097,81,2626102054.941874,76,2770781064.0486736,62,4130836603.8899665,75,8233146696.456949,127,80847389.890527,1
316,local_history,23549369658.121777,2957,617793791.8335881,2167,1258802903.6597946,246,1916633047.0278132,126,1867630805.3297942,76,2731091400.4059024,79,2580724422.6224985,58,4371894607.233956,79,8125422549.936225,125,79376130.07222,1
317,local_history,23582836244.979866,2964,590768062.8423746,2187,1263091899.0106344,248,1883577661.9356554,121,2094661758.2069397,86,2330096110.385609,68,2151573401.9626064,48,2408682629.707557,44,9646122696.589722,146,1214262024.3387628,16
318,local_history,23583277486.361115,2965,569501316.2780956,2201,1186149355.196184,241,2015963150.9697995,128,1833488768.6519701,75,2159655570.854231,63,1960933952.1744397,44,2179011378.5602045,40,10486658383.424633,158,1191915610.25159,15
319,local_history,23565309681.268616,2967,565086370.8411046,2205,1189673388.028213,241,1921456850.6564817,123,1916216899.5027733,79,2013706282.1092298,59,1934927932.4785,43,2109863888.556338,39,11105165243.31318,168,809212825.7828081,10
320,local_history,23561047526.582516,2966,575989447.0689862,2205,1190873980.0282912,241,1892757814.2666872,122,1895714923.5896719,79,1981850422.4346387,58,1687216198.0136101,38,2343748210.6331973,43,11344590536.849945,172,648305993.697577,8
321,local_history,23537719498.083298,2966,579989437.6273112,2204,1205420739.476891,242,1930811056.8350992,124,1857414429.6328435,77,1967609266.096885,57,1772482363.85973,40,2361985106.142408,43,11281911924.96553,172,580095173.446657,7
322,local_history,23504746248.17418,2970,592575889.0509781,2210,1193938020.5757449,239,1988451847.3435416,127,1842492051.948055,76,1902376438.1807117,55,1780025606.9113789,40,2655616915.2064314,48,11038877299.472414,169,510392179.48499995,6
323,local_history,23487356050.894314,2979,586889600.8911874,2152,1322890842.3071163,257,2124608797.3466942,139,2088635551.5632145,88,2972358456.0084777,87,3597128762.3479495,81,3583782814.42221,66,6991445627.200708,106,219615598.806842,3
324,local_history,23354498909.628216,2982,586305475.3403386,2153,1364441589.106927,261,2103802740.2350488,137,2327936543.0026326,96,2958084835.5049777,86,3649041206.463202,82,3285836831.8105707,60,6863459424.920132,104,215590263.24443698,3
325,local_history,23417671451.02196,2987,614301555.0213863,2163,1341033275.0251527,254,2131124309.7850587,139,2452534098.9208975,100,3072707680.972979,88,3405834853.771784,76,2893068670.991364,53,7421292268.831296,113,85774737.702099,1
326,local_history,23301004853.80228,2996,659401592.5811899,2220,1186871659.8388565,211,1972537259.0251641,129,2760809306.887199,112,2688822160.1348996,78,3552465344.888128,79,2673381580.7750053,49,7646564799.996939,116,160151149.67490602,2
327,local_history,23258804977.03405,3000,646454370.5441331,2216,1239561755.5271723,219,2055426703.9755,132,2574198699.177001,105,2867769692.5468855,84,3396989782.207419,76,2718961670.500616,50,7759442302.555339,118,0.0,0
328,local_history,23216173396.125942,3000,652588241.3186449,2217,1239933319.0823953,216,2111178639.666049,136,2649094043.63374,108,2907127686.66608,84,3334885173.880474,74,2792128994.65351,51,7529237297.225078,114,0.0,0
329,local_history,24598636428.762444,3018,652667850.5183781,2211,1249021256.5272965,216,2077633391.3559117,136,2549775909.8439918,105,3008179359.4435244,88,3278676092.289406,73,3300694055.8400817,60,8481988512.943855,129,0.0,0
