epoch_no,source,total_active_stake_ada,active_pool_count,0_ada_stake_ada,0_ada_pool_count,gt_0_1k_ada_stake_ada,gt_0_1k_ada_pool_count,1k_10k_ada_stake_ada,1k_10k_ada_pool_count,10k_100k_ada_stake_ada,10k_100k_ada_pool_count,100k_1m_ada_stake_ada,100k_1m_ada_pool_count,1m_10m_ada_stake_ada,1m_10m_ada_pool_count,10m_70m_ada_stake_ada,10m_70m_ada_pool_count,gt_70m_ada_stake_ada,gt_70m_ada_pool_count
241,local_history,21632982170.7612,1431,1571780057.1262133,50,2076872152.2696078,206,704407345.662978,158,5956117136.587873,431,6702453783.208287,450,2420164558.85838,100,2201187137.047862,36,0.0,0
242,local_history,21755094259.019897,1452,1559993899.7181277,52,2125884224.2467306,216,694348964.520668,155,6055664081.495252,440,6636785801.591118,454,2525488185.107094,100,2156929102.3409624,35,0.0,0
243,local_history,21849089085.26033,1467,1566795108.4711874,53,2143939769.6306803,219,696302550.9628164,158,6160861837.142046,452,6741873423.410789,451,2383786705.5657,99,2155529690.0771713,35,0.0,0
244,local_history,21956206748.623653,1489,1554924737.1226451,52,2165756127.7009106,234,716227856.498422,160,6289869732.615068,452,6697147479.534804,456,2374718140.2450438,100,2157562674.906776,35,0.0,0
245,local_history,22086904770.458763,1525,1597693312.3445563,54,2112561808.8268929,245,769355325.2731619,161,6356233215.129895,479,6773494544.288912,455,2320195132.186265,96,2157371432.409141,35,0.0,0
246,local_history,22190441040.634068,1534,1590578084.2834234,54,2164037782.537788,245,759282916.5900209,161,6410104236.577183,486,6749999081.6915045,455,2389327175.8699975,98,2127111763.0841784,35,0.0,0
247,local_history,22275517879.395283,1588,1573170926.2834115,72,2165075055.4728546,256,782382676.4441178,163,6508236718.035987,502,7050643190.149832,463,2458271975.423867,103,1736584625.3694153,28,1152712.215834,1
248,local_history,22376311335.66071,1603,1586613138.222543,71,2190477790.1007137,259,803377152.6461084,170,6526941907.917092,498,7076733324.902042,473,2455319452.6108437,104,1736848569.261485,28,0.0,0
249,local_history,22369166376.49282,1645,1677097185.1564548,72,2078266046.1435006,276,946744719.7488137,180,6469401764.7540865,510,7183459861.658808,479,2341720773.722263,101,1672476025.3089752,27,0.0,0
250,local_history,23034831199.28575,1723,2218578315.908047,77,2111031106.0563858,305,980291553.3130989,192,6522148148.699481,535,7281757241.996062,489,2313210243.426304,99,1607814589.8864582,26,0.0,0
251,local_history,23028427838.128735,1813,2241026316.914861,85,2067785221.1333668,331,1051236888.7928817,209,6526381709.042288,559,7394891104.918375,508,2203182046.4333754,95,1543924550.8936212,26,0.0,0
252,local_history,22675992136.32678,1885,2231465866.008545,85,2067482859.2464235,358,1066291193.2321811,240,6452372291.27487,571,7311219537.033314,509,2314388384.218515,100,1232772005.3129573,22,0.0,0
253,local_history,22807568628.32658,1986,1218928360.30364,82,3041793081.674119,400,1094657454.0233798,264,6681052371.078219,601,7355830339.462219,515,2310307670.3197875,104,1104999351.4652302,20,0.0,0
254,local_history,22929461287.895603,2076,1261469498.916157,87,2999967462.940819,414,1110192218.36296,292,6777801712.769197,630,7523225312.939231,526,2151768447.827805,108,1105036634.1394832,19,0.0,0
255,local_history,22753958467.474937,2154,1311095213.0923908,94,3011109421.650616,431,1138654284.8674278,316,6764691730.240495,656,7554053119.9740925,533,2130735863.670094,110,843618833.9798411,14,0.0,0
256,local_history,22488877070.796886,2208,1317929385.652467,95,3021584382.2727313,435,1399984854.8141115,345,6496528281.99366,673,7574711457.347099,538,2094834618.61899,111,583304090.097847,11,0.0,0
257,local_history,22670949084.364777,2245,1338848819.3339362,94,3028159086.6312656,443,1471646044.1996295,364,6463580694.584173,678,7584854627.243204,541,2083945161.105467,113,699914651.2671272,12,0.0,0
258,local_history,22760955541.83454,2291,1355629805.8160944,98,3032721268.8261266,448,1487688861.2018032,376,6468815989.785988,698,7616131916.589114,546,2098506891.1187954,113,701460808.496621,12,0.0,0
259,local_history,22791959380.285606,2329,1371421576.0779734,91,3040433971.7742248,469,1698481659.0765955,379,6250081710.755925,716,7616491008.922895,543,2144591719.1064079,116,670457734.571623,15,0.0,0
260,local_history,22796009141.13442,2356,1388236975.6509175,93,3021496711.664127,454,1696958394.2148263,391,6236937433.05029,736,7607530859.985243,548,2110596570.524837,118,734252196.0441569,16,0.0,0
261,local_history,22716225550.169712,2378,1323456907.350941,96,3022920766.666018,449,1697659564.279101,393,6216234797.378549,751,7592226240.296563,554,2129876844.6421611,119,733850429.5563899,16,0.0,0
262,local_history,22755688720.340305,2390,1408827919.2821262,96,3036146815.555789,441,1636166499.6859362,404,6176608246.102385,757,7593775291.51908,556,2170135325.550632,120,734028622.644349,16,0.0,0
263,local_history,22726917708.8734,2410,1373104385.5335119,98,3013671161.263467,443,1630957124.2188919,404,6180422357.247706,775,7563069711.779178,557,2231953503.2993035,117,733739465.531295,16,0.0,0
264,local_history,22955953661.89682,2443,1467294146.721756,102,2960565875.099809,447,1640816376.9763694,416,6225388786.606955,781,7543734494.561375,557,2278842395.3513317,121,839311586.579211,19,0.0,0
265,local_history,23026399223.41148,2459,1481092018.8608868,103,2951716673.350892,447,1649138697.7233136,419,5704233660.98191,774,8152174390.344773,578,2249173169.121239,119,838870613.028498,19,0.0,0
266,local_history,23083634214.1177,2486,1404459737.048627,99,2957314418.416573,452,1651310533.3562412,429,5038385916.116936,772,8708951139.25701,592,2232212910.100461,119,1090999559.821843,23,0.0,0
267,local_history,23021654510.41951,2500,1382445246.1567943,98,2934631073.768853,457,1718962344.893218,434,4957844057.106135,775,8542786682.061295,592,2269091274.900849,119,1215893831.532329,25,0.0,0
268,local_history,22843314790.026745,2488,1363749010.949671,101,2962331806.103975,462,1700063332.4363823,420,4971852875.846483,767,8376450862.508046,595,2249348085.9320345,119,1219518816.250142,24,0.0,0
269,local_history,22786770256.60496,2507,1298693976.503017,100,2959094583.701619,470,1717238611.6666293,428,5007847593.481044,773,8442985864.999439,597,2160795088.2986636,115,1200114537.9545417,24,0.0,0
270,local_history,22893778548.073586,2539,1302246321.835212,98,2968466017.8519483,480,1732554771.2455606,437,4984067894.877431,790,8495347581.501639,593,2210562747.7265015,117,1200533213.035236,24,0.0,0
271,local_history,22970909569.111313,2570,1367266071.908328,98,2971635157.371775,489,1735177707.0033424,442,4990880706.873357,804,8536203744.580322,596,2170497071.505183,117,1199249109.869057,24,0.0,0
272,local_history,23020000415.780613,2583,1376091384.7434146,97,2972639085.812697,495,1749211039.977751,448,4992681564.040739,807,8552561452.900468,595,2177692368.7857018,117,1199123519.5198371,24,0.0,0
273,local_history,23075664958.74651,2595,1406897777.555247,95,2965611731.824737,498,1756173079.961974,450,5026796764.294977,813,8503218662.627605,598,2217509957.212989,117,1199456985.269045,24,0.0,0
274,local_history,23094302016.775856,2634,1417319210.5853546,98,2958452578.689205,515,1808620386.038734,459,5032565216.311769,819,8462093364.937878,600,2278684242.6575375,119,1136567017.555459,24,0.0,0
275,local_history,23006172979.540237,2655,1350510703.9594197,96,2959908205.2228994,520,1794571198.4614236,470,5019452491.153489,825,8450099536.535601,602,2294465481.7678447,118,1137165362.439613,24,0.0,0
276,local_history,23092420021.153866,2666,1362546553.4899077,97,2965144902.0090647,526,1802597342.331909,474,5012885961.1422615,826,8453972540.041381,599,2316482725.994229,120,1178789996.1451368,24,0.0,0
277,local_history,23196615273.348488,2684,1417978954.016005,98,2975884862.2255626,534,1809095602.4645994,474,5104132708.135491,835,8402103918.3925495,598,2308436163.0441456,121,1178983065.0702271,24,0.0,0
278,local_history,23196379717.22826,2710,1418540675.8696992,101,2984608062.94895,543,1810578477.0740528,479,5141253834.630881,843,8360153226.28703,598,2297627411.223901,122,1183618029.193803,24,0.0,0
279,local_history,23210733595.257263,2714,1418176989.0413077,100,3008846039.18739,543,1818567697.8499815,485,5312720193.197095,838,8192209584.277399,602,2275835378.802913,122,1184377712.901237,24,0.0,0
280,local_history,23230827525.68359,2729,1411403118.3155339,96,3064191366.769138,546,1821380790.5064368,489,5288127419.829618,847,8202055570.065404,605,2258989053.184146,122,1184680207.013359,24,0.0,0
281,local_history,23254470605.645172,2735,1401378493.472027,95,3121938758.8712187,544,1822704107.7994766,489,5233446701.667992,856,8226998519.753202,605,2261452676.928955,122,1186551347.1523633,24,0.0,0
282,local_history,23244660857.359665,2758,1398823882.014344,96,3099842796.4787188,553,1836553100.207485,487,5236368358.994072,869,8257813375.660702,608,2250839982.9096656,121,1164419361.094772,24,0.0,0
283,local_history,23277148789.435486,2770,1399795825.1625745,98,3125798681.1865,553,1849064940.6247046,489,5200634862.312941,873,8279636838.967581,612,2258344210.384879,120,1163873430.796354,25,0.0,0
284,local_history,23275724668.51116,2798,1412638700.6268497,101,3116289868.572995,557,1861104254.2174716,496,5198022111.318315,890,8258547091.401455,609,2265046135.2734556,121,1164076507.100661,24,0.0,0
285,local_history,23159940155.010082,2813,1458127872.1987288,110,3101878119.58094,561,1880783887.7293744,501,5170686621.640466,892,8146453811.422816,605,2256050384.487303,120,1145959457.950493,24,0.0,0
286,local_history,23141094607.453682,2823,1462926545.4227798,111,3149733810.4456162,563,1914634657.3070376,508,5182425813.475638,889,8084002515.368827,607,2247928043.955113,121,1099443221.478718,24,0.0,0
287,local_history,23041097075.076717,2835,1467707816.6554608,108,3167262180.8046565,573,1948102800.9932847,510,5107609010.928689,889,8056917033.927044,606,2257558310.9748297,124,1035939920.7928501,25,0.0,0
288,local_history,23136223153.98838,2836,1475700672.2513275,111,3153457934.362725,576,1960546531.1834025,513,5141905114.994461,878,8055631510.369111,606,2249212319.955894,126,1099769070.8714643,26,0.0,0
289,local_history,23311196777.53461,2839,1586312869.5416727,111,3190081197.672095,580,1894155792.8024087,513,5137343799.152446,875,8098035438.915196,607,2200147792.8772526,125,1205119886.5736482,28,0.0,0
290,local_history,23253494675.755272,2851,1599715100.9568715,113,3218998189.6327453,591,1899145630.6132793,509,5106275460.456882,879,8027978972.83074,607,2212407836.0023537,124,1188973485.262413,28,0.0,0
291,local_history,23219858534.473045,2874,1604185421.541928,115,3262859126.1805515,602,1891811684.2361407,520,5085659570.8403015,882,7951487702.279279,602,2236000293.911103,126,1187854735.4837298,27,0.0,0
292,local_history,23325839206.372475,2878,1564770466.1178927,114,3180053058.9597263,602,1918930976.76351,522,5200017538.190421,889,7893392435.089295,598,2306310403.8255725,126,1262364327.4260101,27,0.0,0
293,local_history,23395112387.18589,2881,1593328976.0111904,118,3230306792.3805056,597,1896320447.4163094,525,5246703347.284004,892,7872275908.569054,596,2293098799.9134107,126,1263078115.611396,27,0.0,0
294,local_history,23382668673.546524,2897,1573700177.2047358,119,3239064127.8178225,599,1908834014.2376068,537,5259158309.130289,891,7831545865.309341,598,2295702473.339846,126,1274663706.5069427,27,0.0,0
295,local_history,23411124422.16434,2914,1572704850.4616652,120,3248559111.8392606,610,1899473492.898324,540,5360499355.481149,895,7799680031.7331705,597,2286153542.2958755,126,1244054037.4548519,26,0.0,0
296,local_history,23445774697.795326,2928,1591187553.2169945,123,3252300707.8558574,609,1901336101.5816643,544,5403509875.861472,903,7739785215.358949,598,2313003438.7190113,125,1244651805.2013223,26,0.0,0
297,local_history,23478023193.51307,2931,1610083172.9344654,126,3297014762.5934863,599,1909678719.63178,552,5405206734.353395,902,7675565817.617669,600,2331418512.9485745,126,1249055473.433641,26,0.0,0
298,local_history,23511990337.86578,2943,1654390706.840282,126,3307584664.265254,602,1928764522.539609,555,5362871200.218603,899,7604812923.185336,601,2403191991.4400015,127,1250374329.3766322,33,0.0,0
299,local_history,23564534162.883224,2938,1677214178.3285928,128,3345360423.7253942,601,1931849485.2065105,553,5353589684.909819,897,7618128717.99631,601,2398374311.839539,125,1240017360.8769722,33,0.0,0
300,local_history,23882888816.746334,2932,1638521880.280043,128,3354702736.154129,603,1939586572.6725862,550,5398719449.032462,893,7550751040.969011,601,2453359762.390454,125,1547247375.2476153,32,0.0,0
301,local_history,23857504839.45495,2942,1642173215.657623,127,3363523153.0586166,625,1952899773.9472287,547,5371711666.267431,889,7538513287.990021,601,2440773373.337219,122,1547910369.1968334,31,0.0,0
302,local_history,23848572589.189342,2936,1646111492.2384973,126,3369362131.7069545,631,1961580935.447627,547,5360556570.220055,877,7553931687.435031,601,2408520957.9564753,123,1548508814.1846676,31,0.0,0
303,local_history,23849267970.809715,2935,1696515304.1855958,127,3361273251.3771677,638,1965174401.0688007,544,6260379958.9832945,904,6609232876.534145,568,2406487195.8204527,123,1550204982.840216,31,0.0,0
304,local_history,23856125875.170696,2948,1698787153.529213,126,3369100926.8665667,647,1965865768.101469,555,6260817085.340872,897,6608585008.210657,569,2400178069.3936915,123,1552791863.7282383,31,0.0,0
305,local_history,23854747611.96425,2959,1716577862.8948753,126,3408881481.117461,665,1932005541.1670308,552,6199042745.77223,896,6619231967.381746,566,2416455082.194169,123,1562552931.4367373,31,0.0,0
306,local_history,23836977371.261265,2950,1588067771.7932389,121,3491554045.033284,667,1936291072.9120252,544,6143807888.706048,900,6666343731.306488,563,2408306084.02831,123,1602606777.4818804,32,0.0,0
307,local_history,23854464200.396248,2971,1590880205.3990626,123,3504785846.8875394,680,1952960057.8954475,549,6004833496.910698,903,6746462071.879914,560,2451305194.495967,124,1603237326.927706,32,0.0,0
308,local_history,23828103259.412354,2967,1563660593.2152433,124,3520210738.8530536,687,1943914148.8287106,541,5948363669.339266,902,6741109423.5655155,557,2507749504.755846,124,1603095180.854691,32,0.0,0
309,local_history,23765024934.948162,2960,1583226470.7434943,128,3579837787.3635497,680,1954360253.4687066,542,5721887422.281339,905,6784182830.481895,550,2536839882.283251,123,1604690288.3259149,32,0.0,0
310,local_history,23777625558.16979,2969,1591565889.3921134,129,3580463549.841032,678,1986986547.4351137,551,5743326522.317927,911,6692247644.461461,543,2578326203.555522,125,1604709201.166665,32,0.0,0
311,local_history,23732237106.487244,2965,1587798317.9945538,128,3588056743.0120306,688,1995501957.6344666,553,5701214102.962148,899,6663224493.494528,538,2592481915.6470914,127,1603959575.7423959,32,0.0,0
312,local_history,23741900713.307335,2970,1586560284.1152303,131,3590544460.4282765,690,2000051428.666496,555,5728831096.362328,899,6623823214.513829,536,2607161934.395218,127,1604928294.8259435,32,0.0,0
313,local_history,23726880119.033787,2972,1606833205.240627,130,3613395375.306412,689,2011760204.1158068,557,5700572627.064528,902,6577957834.183907,535,2609432446.2267113,127,1606928426.8958526,32,0.0,0
314,local_history,23604987896.132526,2962,1529250693.823099,128,3578952937.030097,686,1997361528.5410135,556,5715674177.885777,899,6561898391.629547,536,2614209729.724353,125,1607640437.4986038,32,0.0,0
315,local_history,23537012833.083862,2961,1498611606.566896,129,3586376207.4107404,685,1933859037.0923634,560,5708589760.36271,897,6544258405.354147,532,2592847510.894176,125,1672470305.402817,33,0.0,0
316,local_history,23549369658.121777,2957,1465382286.4051173,129,3601177272.0398364,685,1981296436.7997093,559,5811211194.484011,895,6533498712.089441,531,2483587982.4996514,124,1673215773.8040054,34,0.0,0
317,local_history,23582836244.979866,2964,1458419619.5084639,132,3574810391.841871,689,1811964378.909208,563,5603855037.383943,894,6770987726.260796,529,2690353875.5199957,123,1672445215.5555878,34,0.0,0
318,local_history,23583277486.361115,2965,1487397859.602215,134,3622827930.4340577,703,1661311633.2345908,558,5459039699.501224,891,6739779899.551969,528,2936349946.43713,117,1676570517.59996,34,0.0,0
319,local_history,23565309681.268616,2967,1465209570.0127351,132,3628194128.6866918,708,1668975047.166274,559,5494126002.974628,896,6685453981.604206,520,2945320723.309213,118,1678030227.5148733,34,0.0,0
320,local_history,23561047526.582516,2966,1464359763.2257342,132,3631386690.3412304,705,1693785647.0173204,566,5484384861.36341,891,6659088362.633525,520,2949332731.507836,118,1678709470.4935403,34,0.0,0
321,local_history,23537719498.083298,2966,1466924765.6875672,135,3634573533.4949117,702,1693575449.0754294,568,5539986387.970411,891,6575731347.606498,518,2946097288.490697,118,1680830725.7578452,34,0.0,0
322,local_history,23504746248.17418,2970,1460477450.4975662,132,3636298460.1030154,708,1702994784.0398505,568,5566931812.160597,895,6541187660.593348,516,2919157029.773595,117,1677699051.0062914,34,0.0,0
323,local_history,23487356050.894314,2979,1447367663.3260822,131,3561573205.9839935,713,1773429174.7728693,565,6047585533.560913,904,6385970161.832726,515,2590702753.8250747,117,1680727557.5927331,34,0.0,0
324,local_history,23354498909.628216,2982,1437072225.6543267,131,3544342863.05647,709,1792719461.7125971,567,6064596987.833419,909,6273883369.538956,515,2558071680.7657185,117,1683812321.066763,34,0.0,0
325,local_history,23417671451.02196,2987,1445511666.614161,133,3587710252.9265513,716,1885411717.642137,567,5975804623.905522,904,6258510933.973692,516,2573556964.116772,117,1691165291.8431861,34,0.0,0
326,local_history,23301004853.80228,2996,1435533041.9307027,132,3840611781.896799,717,1974011171.7750041,574,5655727596.803954,908,6168081831.870877,516,2527711829.5756726,115,1699327599.949268,34,0.0,0
327,local_history,23258804977.03405,3000,1447964463.187995,135,3945767815.456336,716,1969391690.7387822,578,5637123327.699135,907,6125941226.955781,515,2494048523.428663,115,1638567929.567363,34,0.0,0
328,local_history,23216173396.125942,3000,1444265514.3412387,133,3790945956.6029,719,1959954892.2302744,572,5543274741.203581,909,6150667437.695686,515,2504955420.008388,115,1822109434.0438976,37,0.0,0
329,local_history,24598636428.762444,3018,2833247918.6053224,158,3803009566.8830743,720,1992330382.4656231,572,5479308340.723382,901,6159952864.293531,515,2503893134.9411116,115,1826894220.8503928,37,0.0,0
330,local_history,24587384093.65376,3022,2891901973.0270176,159,3805274904.3384495,719,1968167423.6079707,578,5507233823.985443,901,6087677900.289811,510,2502252731.2396927,116,1824875337.1653554,39,0.0,0
331,local_history,24665771640.296295,3029,2901763356.478571,160,3825020592.1799364,723,1992104756.3840158,579,5619730077.626448,904,6030353208.815457,508,2466222705.504695,116,1830576943.3071585,39,0.0,0
332,local_history,24727842768.797054,3023,2913229150.1737223,158,3835663378.7016506,725,1968023888.0397081,576,5705680519.782106,903,6010009030.231083,506,2461905926.730726,116,1833330875.138003,39,0.0,0
333,local_history,24714063915.931484,3016,2940634575.0508957,157,3825229591.919383,720,1907668195.615799,576,5682621464.219764,902,6069926286.249571,508,2383560662.5430446,113,1904423140.3329813,40,0.0,0
334,local_history,24776127551.43985,3025,3003151893.9011455,158,3823790764.2933927,723,1916278981.3386319,581,5688274912.284855,902,5991573249.219007,507,2455882346.1684175,114,1897175404.23436,40,0.0,0
335,local_history,24769119181.72966,3016,2994010072.2910767,156,3832036270.920123,726,1904632484.0182471,573,5697986093.58307,899,5987176421.084366,508,2459630181.69647,114,1893647658.13629,40,0.0,0
336,local_history,24767062828.320576,3018,2990008535.348433,156,3796555720.711927,729,1933656130.3791506,569,5550583792.473975,904,6068812925.544862,504,2529879059.0509486,116,1897566664.8112378,40,0.0,0
337,local_history,24753443176.758488,3021,3008647343.9864283,158,3794827430.723427,733,1931471516.605693,567,5527504699.531995,905,6058791908.342662,502,2527399748.2183576,116,1904800529.3499117,40,0.0,0
338,local_history,24621517986.831455,3015,3011113347.436529,159,3695924366.296843,733,1919007528.0600657,565,5521803006.7871895,905,6052039772.993776,497,2520779353.22607,116,1900850612.0309057,40,0.0,0
339,local_history,24682659914.204533,3014,3038134261.52151,160,3799531493.167839,732,1918169180.0506227,565,5502575948.206221,905,5999341022.844272,496,2512180462.779746,115,1912727545.6343184,41,0.0,0
340,local_history,24476700813.527348,3008,3071606400.26433,161,3733714940.890559,723,1918406544.5147834,568,5435619589.21215,904,6026158742.7235155,496,2505179377.823792,115,1786015218.0982754,41,0.0,0
341,local_history,24555840771.80778,3008,3116976476.3874803,162,3737847429.9453664,725,1928541456.7105966,568,5413765618.188995,906,6051110689.368723,492,2519467308.0928254,115,1788131793.1137574,40,0.0,0
342,local_history,24660991673.7675,2994,3128772958.4232526,162,3812943457.196422,722,1921700057.264755,563,5395557689.316017,901,6165918597.253933,494,2441459933.1658587,112,1794638981.1472347,40,0.0,0
343,local_history,24538091587.04569,2988,3142524184.1485667,163,3815336071.32245,716,1918630143.5347795,561,5388994415.710887,903,6164580288.987537,493,2450973535.6008077,112,1657052947.7407486,40,0.0,0
344,local_history,24602095926.151264,2981,3220880457.262969,166,3789092284.910558,711,1926504887.8197742,560,5378679180.699717,902,6193571794.001056,491,2439016425.8514805,111,1654350895.6056945,40,0.0,0
345,local_history,24677704327.308292,2978,3595076638.8725696,175,3825441003.4513783,708,1930485567.1516192,555,5080192498.95467,900,6147339400.485631,489,2446375149.638677,111,1652794068.7537,40,0.0,0
346,local_history,24637590261.789734,2974,3591517856.247994,174,3753210453.1927776,707,1939455022.1371875,556,5110397562.231951,898,6103699488.851481,488,2444977060.751661,111,1694332818.3766582,40,0.0,0
347,local_history,24669825450.454876,2974,3595375506.2407007,174,3874932250.984513,707,1941714935.2554343,557,5000506253.734181,902,6124152231.212304,484,2438845495.387943,110,1694298777.6397948,40,0.0,0
348,local_history,24670614381.38148,2975,3598298592.120064,175,3879813980.5781116,705,1947964710.5646966,561,4968612137.424771,903,6138799122.68376,481,2448976283.1147227,110,1688149554.8953128,40,0.0,0
