pool_id_bech32,pool_id_hex,active_epoch_no,margin,fixed_cost,pledge,deposit,reward_addr,owners,relays,ticker,pool_group,meta_url,meta_hash,pool_status,active_stake,retiring_epoch
pool166casnxyty2nzzkvmwlyhyzeqsm3q4zgs9pjm2kcjgkryashttq,d6b1d84cc45915310accdbbe4b9059043710544881432daad8922c32,306,0.01,340000000,10000000,,stake1u96we0r8hazyv77d92xq88f4avl56pcv3zhf9j3eex52k0s6k760g,"[""stake1u96we0r8hazyv77d92xq88f4avl56pcv3zhf9j3eex52k0s6k760g""]","[{""dns"":null,""srv"":null,""ipv4"":""109.205.179.222"",""ipv6"":null,""port"":3000}]",COCA,,https://git.io/JPxJ3,\xfae8852bb32f148f494be0b1d00f764156ad20615c7fec0025417d85cee13035,retired,,336
pool13njpuytryujfz5csc8f0mlx3rc666jx9fl2e302c4cdpxaghfnm,8ce41e11632724915310c1d2fdfcd11e35ad48c54fd598bd58ae1a13,329,0.01,340000000,15500000000,,stake1u84mc3ugvt4q54qfgfvfd3lh04lzcppy2vfatuetu56kggqsxd9ah,"[""stake1u89z2r227vz0kualk802l9c872g65mh769jju52mz6vy3fswkca20""]","[{""dns"":null,""srv"":null,""ipv4"":""157.90.171.20"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""65.21.153.253"",""ipv6"":null,""port"":6000}]",W3C,,https://www.w3c.zone/metadata.json,\x16b1f7693ba89e3bf323465cf60b06fa3d901fe75ff7e4fcce4fb4ab37efab10,retired,,588
pool1yylt40sgz358x78ckh7xmudk962ahe9uf6s4eu57zxkhuuempsg,213ebabe0814687378f8b5fc6df1b62e95dbe4bc4ea15cf29e11ad7e,301,0.03,340000000,17000000,500000000,stake1u9m0lea5tuldvqhftwfey40k6d8jdd4zgmrhftux7gk8xzg24rwz7,"[""stake1u9m0lea5tuldvqhftwfey40k6d8jdd4zgmrhftux7gk8xzg24rwz7""]","[{""dns"":""ralay1.sonypool.net"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3000},{""dns"":""relay2.sonypool.net"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3000}]",SONY,,https://git.io/JP0bb,\x6d4c549dae95570c36249e19424f7e3058e4edf32f42b85827423a2e8d306e88,retired,,340
pool1uklezq2zz38zldrjrgujqmvrnswfzmupakgfp5wzgln9zx8tcju,e5bf910142144e2fb4721a39206d839c1c916f81ed9090d1c247e651,301,0.01,340000000,1000000000,500000000,stake1u8l5y5dlcg9cterkg0n00as0ghwyfe7d9wx37nplwarlh5q0acyah,"[""stake1u8l5y5dlcg9cterkg0n00as0ghwyfe7d9wx37nplwarlh5q0acyah""]","[{""dns"":""r1.adacucumber.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""r2.adacucumber.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000}]",,,https://adacucumber.com/meta.json,\x447566db54c0e24f0e3f85e855ee822cc273d18a0f328e41cf1e5d0de8212ef4,registered,0,
pool1ty3d4m6px86ns3mnchqgmk64pecj7ep8fq98ffd7fx5cwgpma70,5922daef4131f5384773c5c08ddb550e712f6427480a74a5be49a987,320,0,340000000,6000000000,,stake1u9lgrx24cvl2aat7yvk02ju77yvezw7s9u0q5qgw94cj02c3kthy4,"[""stake1u9lgrx24cvl2aat7yvk02ju77yvezw7s9u0q5qgw94cj02c3kthy4""]","[{""dns"":""acs.internet-box.ch"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000}]",,,https://git.io/JPVLi,\x37732210013eb5d132c09e824bf22a7c4084a2cc00ab4416574ea4097017a132,retired,,340
pool19aljt40r4yjp0cskmzq9ycz88v3nn0ju22dkghgftmud5e6548y,2f7f25d5e3a92417e216d8805260473b2339be5c529b645d095ef8da,301,0,340000000,1000000,500000000,stake1u8mp6d5xrkzj7r0gvqxel0scra9xmrc7z8gf8snmc4ck3pc2pkvjr,"[""stake1u8mp6d5xrkzj7r0gvqxel0scra9xmrc7z8gf8snmc4ck3pc2pkvjr""]","[{""dns"":""relay.tux-pool.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3002},{""dns"":""relay.tux-pool.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3003}]",,,https://tux-pool.com/poolMetaData.json,\xb6a2a4cbb7215a663cb60a64866d6e11fdcb1614ade72ebe1efacc1e0d34d519,retired,,346
pool1th8afnzy79jerwjg0cqgm3y4xz5pfphtfkggyqw0htz8ssujvf5,5dcfd4cc44f16591ba487e008dc49530a81486eb4d908201cfbac478,303,0.02,345000000,100000000,,stake1uyg9hafs9qe9v9a7d6heh6ud7cwnej8p33tgq0qtvm86tagmhk0z9,"[""stake1uyg9hafs9qe9v9a7d6heh6ud7cwnej8p33tgq0qtvm86tagmhk0z9""]","[{""dns"":""relay1.threenext.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000},{""dns"":""relay2.threenext.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":6000}]",,DAPP,https://www.threenext.com/cardano-meta.json,\x8311a5ec5fa4e931dea0f39fd2d391b24e839825d2fdf382f26de68ae2957aeb,registered,416934572,
pool1fr95farr6sjlucycplvth8saqx6h07g638mnlt8cex0kg353wr4,48cb44f463d425fe60980fd8bb9e1d01b577f91a89f73facf8c99f64,304,0,340000000,10000000000,,stake1u8a7j7u2n5lkqdd3uzy2nrc6stju6zx5t5nfpus42fkwv0cqh22hk,"[""stake1u8a7j7u2n5lkqdd3uzy2nrc6stju6zx5t5nfpus42fkwv0cqh22hk""]","[{""dns"":null,""srv"":null,""ipv4"":""139.162.7.59"",""ipv6"":null,""port"":6000}]",MAXH1,,https://git.io/JPoIL,\x04ccc66dacb5116ac92f2fbfc55da4d62ecaba8b86e160483d680cfcbe45f685,retired,,304
pool1x909haq22shn2479qtzkkr9ww2s9nr7v9xzyhxefg50yyt3lzfy,315e5bf40a542f3557c502c56b0cae72a0598fcc29844b9b29451e42,303,0.0369,369000000,500000000,,stake1u8l5707dfe7njagakrsq025ucuvq8kntl92gdk6j6dallygknck5c,"[""stake1u8l5707dfe7njagakrsq025ucuvq8kntl92gdk6j6dallygknck5c""]","[{""dns"":null,""srv"":null,""ipv4"":""51.81.245.32"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""54.221.108.140"",""ipv6"":null,""port"":3001}]",,cardanonodes.com,https://cardanonodes.com/INN_poolMetaData.json,\x9c89dc0fa9a9dccb61bc8de355acdfef50d73f9b3b76c8bdc5698714a514999f,registered,0,
pool10tcg3efecc706w98qs7j5jw84nxkcycseksp4mw64pjty26wr7f,7af088e539c63cfd38a7043d2a49c7accd6c1310cda01aeddaa864b2,323,0.02,340000000,16451000000,,stake1u8yp3xa86acxnwmzte2nksq8nqsk28c60qcd9qjrmgl5hgswcp4jt,"[""stake1u8yp3xa86acxnwmzte2nksq8nqsk28c60qcd9qjrmgl5hgswcp4jt""]","[{""dns"":null,""srv"":null,""ipv4"":""217.182.201.109"",""ipv6"":null,""port"":6000},{""dns"":null,""srv"":null,""ipv4"":""139.99.62.178"",""ipv6"":null,""port"":6000}]",,,https://matakanode.io/wp-content/uploads/2021/11/poolmeta.json,\x2a575be8dfd0c226f3f8101b033a3c257365fb69cca665b6fbc4913603b3266f,registered,0,
