epoch_no,pool_cnt,total_pool_rewards_ada,total_active_stake_ada,pools_with_observed_pledge,pledge_met_pool_cnt,pledge_unmet_pool_cnt,reward_from_unmet_ada,active_stake_from_unmet_ada,blocks_from_unmet,pledge_met_share_pct,pledge_unmet_share_pct,reward_share_from_unmet_pct,active_stake_share_from_unmet_pct,median_margin_rate,median_margin_pct,median_fixed_cost_ada,pct_fixed_cost_340,median_pledge_coverage_ratio,update_cnt,registration_update_cnt,deregistration_update_cnt,distinct_updated_pool_cnt
210,734,0.0,6057875150.904302,711,620,91,0.0,374098139.88997376,0,87.20112517580873,12.79887482419128,0.0,6.17540194492337,0.02,2.0,340.0,86.37602179836512,1.0033469758564102,737,737,0,737
211,890,7235489.131812995,10177811974.82288,866,799,67,0.0,50268348.077233985,3,92.26327944572749,7.736720554272518,0.0,0.4939013237971394,0.02,2.0,340.0,86.96629213483146,1.0053202311861766,912,912,0,494
212,984,8916617.06423299,12106602864.871832,953,885,68,10333.972964,78118192.31612203,12,92.86463798530956,7.135362014690451,0.11589566861015504,0.6452527863351949,0.02,2.0,340.0,88.92276422764228,1.0050076130666667,743,743,0,457
213,1026,9526255.754959995,12758829109.784357,994,937,57,16517.267098,36238406.69387699,12,94.2655935613682,5.734406438631791,0.17338676939678033,0.284026115422197,0.02,2.0,340.0,89.66861598440545,1.005079114717256,573,573,0,311
214,1070,10130609.812413,13382718156.0972,1037,982,55,9907.715188,24872846.99331401,6,94.69623915139826,5.303760848601736,0.09779979064893124,0.18585796026782403,0.02,2.0,340.0,90.0,1.0061338566666667,413,413,0,266
215,1106,10589020.861519005,13864141914.846119,1070,1007,63,7439.70701,18661857.26882301,5,94.11214953271028,5.887850467289719,0.07025868687289344,0.1346052094925497,0.02,2.0,340.0,90.32549728752261,1.009117084410934,360,360,0,214
216,1119,10798513.210874999,14396547846.613792,1085,1011,74,9099.08873,21978380.35921699,8,93.17972350230414,6.820276497695852,0.08426242161593563,0.1526642400204749,0.02,2.0,340.0,90.3485254691689,1.01120756225,318,318,0,193
217,1139,11053356.116313994,14776118270.469759,1105,1022,83,6931.274985,35786235.696611,15,92.48868778280543,7.51131221719457,0.06270742489486894,0.2421896944891826,0.02,2.0,340.0,90.25460930640912,1.0141808230952,291,291,0,177
218,1133,10928027.196482006,14987431249.067879,1098,1035,63,8184.274221,15589761.221117998,5,94.26229508196722,5.737704918032787,0.0748925132949405,0.10401890065108775,0.02,2.0,340.0,90.02647837599294,1.0165722319833335,250,250,0,160
219,1141,11323798.223373994,15657991508.072977,1098,1031,67,17717.758846,21651123.555935998,11,93.89799635701274,6.10200364298725,0.15646480532855067,0.13827522862541514,0.02,2.0,340.0,89.92112182296232,1.018813144826656,158,158,0,105
